"Status","Year","Region_ITL1","Region_ITL2","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","South East (England)","Surrey, East and West Sussex","West Surrey","AA/AO","750","705","24890","24370"
"In post","2021","South East (England)","Surrey, East and West Sussex","West Surrey","EO","550","510","29170","29290"
"In post","2021","South East (England)","Surrey, East and West Sussex","West Surrey","G6/G7","195","185","59200","57500"
"In post","2021","South East (England)","Surrey, East and West Sussex","West Surrey","SCS level","15","15","93110","82050"
"In post","2021","South East (England)","Surrey, East and West Sussex","West Surrey","SEO/HEO","485","460","37810","37790"
"In post","2021","South East (England)","Surrey, East and West Sussex","West Surrey","Unknown","120","110","28680","28200"
"In post","2021","South East (England)","Surrey, East and West Sussex","West Sussex (North East)","AA/AO","150","135","22210","22360"
"In post","2021","South East (England)","Surrey, East and West Sussex","West Sussex (North East)","EO","770","670","28080","27570"
"In post","2021","South East (England)","Surrey, East and West Sussex","West Sussex (North East)","G6/G7","50","50","58990","55290"
"In post","2021","South East (England)","Surrey, East and West Sussex","West Sussex (North East)","SCS level","5","5","[c]","[c]"
"In post","2021","South East (England)","Surrey, East and West Sussex","West Sussex (North East)","SEO/HEO","230","220","36690","35030"
"In post","2021","South East (England)","Surrey, East and West Sussex","West Sussex (North East)","Unknown","25","25","29220","29200"
"In post","2021","South East (England)","Surrey, East and West Sussex","West Sussex (South West)","AA/AO","390","345","21860","21010"
"In post","2021","South East (England)","Surrey, East and West Sussex","West Sussex (South West)","EO","445","400","27460","27570"
"In post","2021","South East (England)","Surrey, East and West Sussex","West Sussex (South West)","G6/G7","90","90","55670","52580"
"In post","2021","South East (England)","Surrey, East and West Sussex","West Sussex (South West)","SCS level","10","10","[c]","[c]"
"In post","2021","South East (England)","Surrey, East and West Sussex","West Sussex (South West)","SEO/HEO","325","305","35340","34860"
"In post","2021","South East (England)","Surrey, East and West Sussex","West Sussex (South West)","Unknown","55","50","30420","30210"
"In post","2021","South West (England)","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","AA/AO","710","635","20860","21010"
"In post","2021","South West (England)","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","EO","620","570","27220","27570"
"In post","2021","South West (England)","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","G6/G7","50","45","58500","54990"
"In post","2021","South West (England)","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","SEO/HEO","215","205","35630","34160"
"In post","2021","South West (England)","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Unknown","50","45","29330","28200"
"In post","2021","South West (England)","Devon","Devon CC","AA/AO","1945","1725","22200","21010"
"In post","2021","South West (England)","Devon","Devon CC","EO","1330","1210","26930","27570"
"In post","2021","South West (England)","Devon","Devon CC","G6/G7","680","645","53650","49960"
"In post","2021","South West (England)","Devon","Devon CC","SCS level","25","25","95400","93570"
"In post","2021","South West (England)","Devon","Devon CC","SEO/HEO","1520","1440","37130","37420"
"In post","2021","South West (England)","Devon","Devon CC","Unknown","85","75","32470","31420"
"In post","2021","South West (England)","Devon","Plymouth","AA/AO","1000","915","22880","21100"
"In post","2021","South West (England)","Devon","Plymouth","EO","895","830","27120","27130"
"In post","2021","South West (England)","Devon","Plymouth","G6/G7","150","140","60850","56750"
"In post","2021","South West (England)","Devon","Plymouth","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","South West (England)","Devon","Plymouth","SEO/HEO","860","810","38670","38450"
"In post","2021","South West (England)","Devon","Plymouth","Unknown","195","185","35130","32710"
"In post","2021","South West (England)","Devon","Torbay","AA/AO","150","120","20650","21010"
"In post","2021","South West (England)","Devon","Torbay","EO","120","105","27310","27570"
"In post","2021","South West (England)","Devon","Torbay","G6/G7","5","5","[c]","[c]"
"In post","2021","South West (England)","Devon","Torbay","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","South West (England)","Devon","Torbay","SEO/HEO","25","25","34010","34190"
"In post","2021","South West (England)","Devon","Torbay","Unknown","30","30","29790","31420"
"In post","2021","South West (England)","Dorset and Somerset","Bournemouth and Poole","AA/AO","200","180","20310","20100"
"In post","2021","South West (England)","Dorset and Somerset","Bournemouth and Poole","EO","330","290","27070","27570"
"In post","2021","South West (England)","Dorset and Somerset","Bournemouth and Poole","G6/G7","15","10","63800","59010"
"In post","2021","South West (England)","Dorset and Somerset","Bournemouth and Poole","SEO/HEO","75","70","34550","33300"
"In post","2021","South West (England)","Dorset and Somerset","Bournemouth and Poole","Unknown","100","90","28540","25460"
"In post","2021","South West (England)","Dorset and Somerset","Dorset CC","AA/AO","995","940","23860","22350"
"In post","2021","South West (England)","Dorset and Somerset","Dorset CC","EO","560","520","28090","27130"
"In post","2021","South West (England)","Dorset and Somerset","Dorset CC","G6/G7","65","60","61970","60520"
"In post","2021","South West (England)","Dorset and Somerset","Dorset CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","South West (England)","Dorset and Somerset","Dorset CC","SEO/HEO","460","435","37100","35950"
"In post","2021","South West (England)","Dorset and Somerset","Dorset CC","Unknown","60","55","28640","30210"
"In post","2021","South West (England)","Dorset and Somerset","Somerset","AA/AO","530","480","20540","20920"
"In post","2021","South West (England)","Dorset and Somerset","Somerset","EO","725","660","26920","27570"
"In post","2021","South West (England)","Dorset and Somerset","Somerset","G6/G7","125","120","57150","53930"
"In post","2021","South West (England)","Dorset and Somerset","Somerset","SCS level","5","5","[c]","[c]"
"In post","2021","South West (England)","Dorset and Somerset","Somerset","SEO/HEO","895","855","36500","34170"
"In post","2021","South West (England)","Dorset and Somerset","Somerset","Unknown","70","60","27800","28200"
"In post","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","760","700","23120","21130"
"In post","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","2615","2475","24800","25750"
"In post","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","1920","1870","57400","55220"
"In post","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS level","150","150","100420","92370"
"In post","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","6380","6155","36560","36550"
"In post","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","1530","1480","41280","39100"
"In post","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","AA/AO","1335","1215","21520","21010"
"In post","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","EO","1430","1305","26650","27250"
"In post","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","G6/G7","1430","1345","56600","53830"
"In post","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","SCS level","85","85","92100","84000"
"In post","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","SEO/HEO","2165","2035","35400","34390"
"In post","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","Unknown","165","150","28840","28200"
"In post","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire","AA/AO","425","390","23040","21130"
"In post","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire","EO","540","480","27450","27570"
"In post","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire","G6/G7","45","40","60760","59060"
"In post","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire","SCS level","5","5","[c]","[c]"
"In post","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire","SEO/HEO","295","265","35770","33840"
"In post","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire","Unknown","85","75","28950","28200"
"In post","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Swindon","AA/AO","105","95","20080","19570"
"In post","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Swindon","EO","165","150","27230","27570"
"In post","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Swindon","G6/G7","65","65","55560","54420"
"In post","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Swindon","SCS level","5","5","[c]","[c]"
"In post","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Swindon","SEO/HEO","95","90","35830","36740"
"In post","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Swindon","Unknown","35","30","29790","29400"
"In post","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","AA/AO","1250","1190","22080","20920"
"In post","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","EO","1240","1180","26730","26670"
"In post","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","G6/G7","1645","1590","54100","52660"
"In post","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","SCS level","60","55","95210","92460"
"In post","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","SEO/HEO","3185","3065","35360","35610"
"In post","2021","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","Unknown","100","95","36050","32690"
"In post","2021","Unknown","Unknown","Unknown","AA/AO","240","220","22240","21010"
"In post","2021","Unknown","Unknown","Unknown","EO","590","555","28030","27570"
"In post","2021","Unknown","Unknown","Unknown","G6/G7","200","190","57540","54700"
"In post","2021","Unknown","Unknown","Unknown","SCS level","25","25","92980","77380"
"In post","2021","Unknown","Unknown","Unknown","SEO/HEO","765","750","34170","32000"
"In post","2021","Unknown","Unknown","Unknown","Unknown","1915","1910","37270","33570"
"In post","2021","Wales","East Wales","Cardiff and Vale of Glamorgan","AA/AO","3400","3050","21330","20880"
"In post","2021","Wales","East Wales","Cardiff and Vale of Glamorgan","EO","3325","3110","26860","26930"
"In post","2021","Wales","East Wales","Cardiff and Vale of Glamorgan","G6/G7","1350","1295","59620","60830"
"In post","2021","Wales","East Wales","Cardiff and Vale of Glamorgan","SCS level","190","185","90280","82200"
"In post","2021","Wales","East Wales","Cardiff and Vale of Glamorgan","SEO/HEO","3520","3355","36750","37410"
"In post","2021","Wales","East Wales","Cardiff and Vale of Glamorgan","Unknown","285","270","31110","30210"
"In post","2021","Wales","East Wales","Flintshire and Wrexham","AA/AO","1020","960","22300","21010"
"In post","2021","Wales","East Wales","Flintshire and Wrexham","EO","660","615","27990","27570"
"In post","2021","Wales","East Wales","Flintshire and Wrexham","G6/G7","75","70","56760","55610"
"In post","2021","Wales","East Wales","Flintshire and Wrexham","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Wales","East Wales","Flintshire and Wrexham","SEO/HEO","295","285","37930","36710"
"In post","2021","Wales","East Wales","Flintshire and Wrexham","Unknown","105","100","28660","28200"
"In post","2021","Wales","East Wales","Monmouthshire and Newport","AA/AO","1100","965","20930","20180"
"In post","2021","Wales","East Wales","Monmouthshire and Newport","EO","1360","1265","25610","25040"
"In post","2021","Wales","East Wales","Monmouthshire and Newport","G6/G7","965","925","55060","55440"
"In post","2021","Wales","East Wales","Monmouthshire and Newport","SCS level","65","65","78790","73210"
"In post","2021","Wales","East Wales","Monmouthshire and Newport","SEO/HEO","2030","1950","34870","36030"
"In post","2021","Wales","East Wales","Monmouthshire and Newport","Unknown","90","80","28440","28200"
"In post","2021","Wales","East Wales","Powys","AA/AO","220","205","21090","20920"
"In post","2021","Wales","East Wales","Powys","EO","165","150","27610","27570"
"In post","2021","Wales","East Wales","Powys","G6/G7","25","20","59490","60830"
"In post","2021","Wales","East Wales","Powys","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Wales","East Wales","Powys","SEO/HEO","135","125","38210","37410"
"In post","2021","Wales","East Wales","Powys","Unknown","10","10","28400","28200"
"In post","2021","Wales","West Wales and The Valleys","Bridgend and Neath Port Talbot","AA/AO","265","230","20500","21010"
"In post","2021","Wales","West Wales and The Valleys","Bridgend and Neath Port Talbot","EO","285","260","27980","27570"
"In post","2021","Wales","West Wales and The Valleys","Bridgend and Neath Port Talbot","G6/G7","10","10","57390","59550"
"In post","2021","Wales","West Wales and The Valleys","Bridgend and Neath Port Talbot","SEO/HEO","85","75","36560","34290"
"In post","2021","Wales","West Wales and The Valleys","Bridgend and Neath Port Talbot","Unknown","60","55","33630","31420"
"In post","2021","Wales","West Wales and The Valleys","Central Valleys","AA/AO","360","320","21620","21010"
"In post","2021","Wales","West Wales and The Valleys","Central Valleys","EO","550","505","27760","27570"
"In post","2021","Wales","West Wales and The Valleys","Central Valleys","G6/G7","170","165","62270","60830"
"In post","2021","Wales","West Wales and The Valleys","Central Valleys","SCS level","25","20","88060","81760"
"In post","2021","Wales","West Wales and The Valleys","Central Valleys","SEO/HEO","520","500","40030","37410"
"In post","2021","Wales","West Wales and The Valleys","Central Valleys","Unknown","85","80","29500","28750"
"In post","2021","Wales","West Wales and The Valleys","Conwy and Denbighshire","AA/AO","125","115","22020","23250"
"In post","2021","Wales","West Wales and The Valleys","Conwy and Denbighshire","EO","170","155","27720","27570"
"In post","2021","Wales","West Wales and The Valleys","Conwy and Denbighshire","G6/G7","70","70","61550","60830"
"In post","2021","Wales","West Wales and The Valleys","Conwy and Denbighshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Wales","West Wales and The Valleys","Conwy and Denbighshire","SEO/HEO","245","230","40300","37410"
"In post","2021","Wales","West Wales and The Valleys","Conwy and Denbighshire","Unknown","70","70","30100","28200"
"In post","2021","Wales","West Wales and The Valleys","Gwent Valleys","AA/AO","345","295","20910","21010"
"In post","2021","Wales","West Wales and The Valleys","Gwent Valleys","EO","465","430","27490","27570"
"In post","2021","Wales","West Wales and The Valleys","Gwent Valleys","G6/G7","25","25","63340","60830"
"In post","2021","Wales","West Wales and The Valleys","Gwent Valleys","SCS level","5","5","[c]","[c]"
"In post","2021","Wales","West Wales and The Valleys","Gwent Valleys","SEO/HEO","160","155","38420","37410"
"In post","2021","Wales","West Wales and The Valleys","Gwent Valleys","Unknown","80","75","29330","28670"
"In post","2021","Wales","West Wales and The Valleys","Gwynedd","AA/AO","415","370","21140","21010"
"In post","2021","Wales","West Wales and The Valleys","Gwynedd","EO","185","175","27520","27570"
"In post","2021","Wales","West Wales and The Valleys","Gwynedd","G6/G7","10","5","[c]","[c]"
"In post","2021","Wales","West Wales and The Valleys","Gwynedd","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Wales","West Wales and The Valleys","Gwynedd","SEO/HEO","75","70","34890","35260"
"In post","2021","Wales","West Wales and The Valleys","Gwynedd","Unknown","60","60","27640","24320"
"In post","2021","Wales","West Wales and The Valleys","Isle of Anglesey","AA/AO","70","70","22240","21130"
"In post","2021","Wales","West Wales and The Valleys","Isle of Anglesey","EO","125","115","26910","27370"
"In post","2021","Wales","West Wales and The Valleys","Isle of Anglesey","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Wales","West Wales and The Valleys","Isle of Anglesey","SEO/HEO","45","45","35330","33330"
"In post","2021","Wales","West Wales and The Valleys","Isle of Anglesey","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Wales","West Wales and The Valleys","South West Wales","AA/AO","480","435","21590","21010"
"In post","2021","Wales","West Wales and The Valleys","South West Wales","EO","440","400","27590","27570"
"In post","2021","Wales","West Wales and The Valleys","South West Wales","G6/G7","70","70","58770","60830"
"In post","2021","Wales","West Wales and The Valleys","South West Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Wales","West Wales and The Valleys","South West Wales","SEO/HEO","400","380","38610","37410"
"In post","2021","Wales","West Wales and The Valleys","South West Wales","Unknown","75","70","27930","24020"
"In post","2021","Wales","West Wales and The Valleys","Swansea","AA/AO","5135","4395","21000","21590"
"In post","2021","Wales","West Wales and The Valleys","Swansea","EO","1690","1555","27010","26780"
"In post","2021","Wales","West Wales and The Valleys","Swansea","G6/G7","445","430","61680","57640"
"In post","2021","Wales","West Wales and The Valleys","Swansea","SCS level","10","10","90900","83650"
"In post","2021","Wales","West Wales and The Valleys","Swansea","SEO/HEO","1605","1525","37510","36710"
"In post","2021","Wales","West Wales and The Valleys","Swansea","Unknown","180","165","29730","28750"
"In post","2021","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Herefordshire, County of","AA/AO","220","215","25050","21010"
"In post","2021","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Herefordshire, County of","EO","140","130","28120","27570"
"In post","2021","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Herefordshire, County of","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Herefordshire, County of","SEO/HEO","55","50","35740","33300"
"In post","2021","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Herefordshire, County of","Unknown","20","20","29420","31420"
"In post","2021","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Warwickshire","AA/AO","490","435","20940","21010"
"In post","2021","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Warwickshire","EO","440","405","25780","27570"
"In post","2021","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Warwickshire","G6/G7","20","20","67080","65100"
"In post","2021","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Warwickshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Warwickshire","SEO/HEO","230","220","36530","34290"
"In post","2021","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Warwickshire","Unknown","115","105","28390","24800"
"In post","2021","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Worcestershire","AA/AO","1110","1045","23760","22850"
"In post","2021","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Worcestershire","EO","515","480","28020","27570"
"In post","2021","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Worcestershire","G6/G7","75","75","55590","52120"
"In post","2021","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Worcestershire","SCS level","10","10","86620","77390"
"In post","2021","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Worcestershire","SEO/HEO","380","360","36790","35900"
"In post","2021","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Worcestershire","Unknown","160","150","29780","28320"
"In post","2021","West Midlands (England)","Shropshire and Staffordshire","Shropshire CC","AA/AO","455","425","23550","21710"
"In post","2021","West Midlands (England)","Shropshire and Staffordshire","Shropshire CC","EO","425","405","28350","27570"
"In post","2021","West Midlands (England)","Shropshire and Staffordshire","Shropshire CC","G6/G7","20","20","65580","59670"
"In post","2021","West Midlands (England)","Shropshire and Staffordshire","Shropshire CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Shropshire and Staffordshire","Shropshire CC","SEO/HEO","180","175","37990","36360"
"In post","2021","West Midlands (England)","Shropshire and Staffordshire","Shropshire CC","Unknown","85","80","33640","34320"
"In post","2021","West Midlands (England)","Shropshire and Staffordshire","Staffordshire CC","AA/AO","1740","1630","23700","22850"
"In post","2021","West Midlands (England)","Shropshire and Staffordshire","Staffordshire CC","EO","1070","1000","28260","27570"
"In post","2021","West Midlands (England)","Shropshire and Staffordshire","Staffordshire CC","G6/G7","150","145","61420","55080"
"In post","2021","West Midlands (England)","Shropshire and Staffordshire","Staffordshire CC","SCS level","10","10","107990","102300"
"In post","2021","West Midlands (England)","Shropshire and Staffordshire","Staffordshire CC","SEO/HEO","820","790","38210","37280"
"In post","2021","West Midlands (England)","Shropshire and Staffordshire","Staffordshire CC","Unknown","175","155","30120","30210"
"In post","2021","West Midlands (England)","Shropshire and Staffordshire","Stoke-on-Trent","AA/AO","600","520","19620","18880"
"In post","2021","West Midlands (England)","Shropshire and Staffordshire","Stoke-on-Trent","EO","410","375","26300","27570"
"In post","2021","West Midlands (England)","Shropshire and Staffordshire","Stoke-on-Trent","G6/G7","55","50","54990","54200"
"In post","2021","West Midlands (England)","Shropshire and Staffordshire","Stoke-on-Trent","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Shropshire and Staffordshire","Stoke-on-Trent","SEO/HEO","95","85","34450","33250"
"In post","2021","West Midlands (England)","Shropshire and Staffordshire","Stoke-on-Trent","Unknown","90","80","29190","28200"
"In post","2021","West Midlands (England)","Shropshire and Staffordshire","Telford and Wrekin","AA/AO","460","410","21840","21010"
"In post","2021","West Midlands (England)","Shropshire and Staffordshire","Telford and Wrekin","EO","560","510","26840","27570"
"In post","2021","West Midlands (England)","Shropshire and Staffordshire","Telford and Wrekin","G6/G7","275","265","56380","52580"
"In post","2021","West Midlands (England)","Shropshire and Staffordshire","Telford and Wrekin","SCS level","15","15","90950","90800"
"In post","2021","West Midlands (England)","Shropshire and Staffordshire","Telford and Wrekin","SEO/HEO","610","570","35930","35000"
"In post","2021","West Midlands (England)","Shropshire and Staffordshire","Telford and Wrekin","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","West Midlands","Birmingham","AA/AO","3570","3230","21010","20180"
"In post","2021","West Midlands (England)","West Midlands","Birmingham","EO","3310","3060","26620","27570"
"In post","2021","West Midlands (England)","West Midlands","Birmingham","G6/G7","1150","1100","57620","54200"
"In post","2021","West Midlands (England)","West Midlands","Birmingham","SCS level","110","105","99910","94650"
"In post","2021","West Midlands (England)","West Midlands","Birmingham","SEO/HEO","3025","2900","35690","33350"
"In post","2021","West Midlands (England)","West Midlands","Birmingham","Unknown","435","400","30160","28200"
"In post","2021","West Midlands (England)","West Midlands","Coventry","AA/AO","295","255","20920","21010"
"In post","2021","West Midlands (England)","West Midlands","Coventry","EO","585","540","27010","27130"
"In post","2021","West Midlands (England)","West Midlands","Coventry","G6/G7","540","525","54700","50630"
"In post","2021","West Midlands (England)","West Midlands","Coventry","SCS level","55","50","90900","85180"
"In post","2021","West Midlands (England)","West Midlands","Coventry","SEO/HEO","900","865","35060","36370"
"In post","2021","West Midlands (England)","West Midlands","Coventry","Unknown","60","55","29850","30210"
"In post","2021","West Midlands (England)","West Midlands","Dudley","AA/AO","525","440","20750","21010"
"In post","2021","West Midlands (England)","West Midlands","Dudley","EO","480","425","27300","27570"
"In post","2021","West Midlands (England)","West Midlands","Dudley","G6/G7","5","5","[c]","[c]"
"In post","2021","West Midlands (England)","West Midlands","Dudley","SEO/HEO","80","75","34500","34290"
"In post","2021","West Midlands (England)","West Midlands","Dudley","Unknown","50","45","29550","28200"
"In post","2021","West Midlands (England)","West Midlands","Sandwell","AA/AO","55","50","20710","21010"
"In post","2021","West Midlands (England)","West Midlands","Sandwell","EO","275","245","27320","27570"
"In post","2021","West Midlands (England)","West Midlands","Sandwell","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","West Midlands","Sandwell","SEO/HEO","45","45","33470","33170"
"In post","2021","West Midlands (England)","West Midlands","Sandwell","Unknown","65","60","26430","23840"
"In post","2021","West Midlands (England)","West Midlands","Solihull","AA/AO","215","190","21100","21430"
"In post","2021","West Midlands (England)","West Midlands","Solihull","EO","530","485","26230","25560"
"In post","2021","West Midlands (England)","West Midlands","Solihull","G6/G7","55","55","54050","52340"
"In post","2021","West Midlands (England)","West Midlands","Solihull","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","West Midlands","Solihull","SEO/HEO","305","290","34160","32740"
"In post","2021","West Midlands (England)","West Midlands","Solihull","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","West Midlands","Walsall","AA/AO","255","215","20620","21010"
"In post","2021","West Midlands (England)","West Midlands","Walsall","EO","245","215","27280","27570"
"In post","2021","West Midlands (England)","West Midlands","Walsall","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","West Midlands","Walsall","SEO/HEO","35","35","34570","32620"
"In post","2021","West Midlands (England)","West Midlands","Walsall","Unknown","65","60","28280","28200"
"In post","2021","West Midlands (England)","West Midlands","Wolverhampton","AA/AO","360","300","20320","21010"
"In post","2021","West Midlands (England)","West Midlands","Wolverhampton","EO","380","340","27290","27570"
"In post","2021","West Midlands (England)","West Midlands","Wolverhampton","G6/G7","10","10","[c]","[c]"
"In post","2021","West Midlands (England)","West Midlands","Wolverhampton","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","West Midlands","Wolverhampton","SEO/HEO","50","45","33430","31990"
"In post","2021","West Midlands (England)","West Midlands","Wolverhampton","Unknown","85","75","26240","23840"
"In post","2021","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","AA/AO","995","930","25270","24440"
"In post","2021","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","EO","605","580","28510","27160"
"In post","2021","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","G6/G7","20","20","72920","70620"
"In post","2021","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","SEO/HEO","225","215","39380","37270"
"In post","2021","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","Unknown","45","40","31860","32690"
"In post","2021","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","AA/AO","830","740","23400","21950"
"In post","2021","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","EO","710","630","27410","27570"
"In post","2021","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","G6/G7","60","55","57880","55610"
"In post","2021","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","SEO/HEO","280","260","35700","33840"
"In post","2021","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","Unknown","120","110","29660","28200"
"In post","2021","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","North and North East Lincolnshire","AA/AO","300","255","20880","21010"
"In post","2021","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","North and North East Lincolnshire","EO","350","315","27130","27570"
"In post","2021","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","North and North East Lincolnshire","G6/G7","5","5","[c]","[c]"
"In post","2021","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","North and North East Lincolnshire","SEO/HEO","70","65","33740","33170"
"In post","2021","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","North and North East Lincolnshire","Unknown","85","80","29260","28200"
"In post","2021","Yorkshire and The Humber","North Yorkshire","North Yorkshire CC","AA/AO","810","765","23110","20920"
"In post","2021","Yorkshire and The Humber","North Yorkshire","North Yorkshire CC","EO","535","500","28020","27570"
"In post","2021","Yorkshire and The Humber","North Yorkshire","North Yorkshire CC","G6/G7","95","85","61570","55730"
"In post","2021","Yorkshire and The Humber","North Yorkshire","North Yorkshire CC","SCS level","5","5","[c]","[c]"
"In post","2021","Yorkshire and The Humber","North Yorkshire","North Yorkshire CC","SEO/HEO","395","385","36480","35310"
"In post","2021","Yorkshire and The Humber","North Yorkshire","North Yorkshire CC","Unknown","95","85","29360","29200"
"In post","2021","Yorkshire and The Humber","North Yorkshire","York","AA/AO","575","530","21530","21010"
"In post","2021","Yorkshire and The Humber","North Yorkshire","York","EO","505","480","26690","26670"
