"Status","Year","Organisation","Parent_department","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Forestry and Land Scotland","Scottish Government","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Actuary's Department","Chancellor's other departments","Female","Heterosexual / straight","65","60","61570","64100"
"In post","2021","Government Actuary's Department","Chancellor's other departments","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Actuary's Department","Chancellor's other departments","Female","Undeclared","10","5","[c]","[c]"
"In post","2021","Government Actuary's Department","Chancellor's other departments","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Government Actuary's Department","Chancellor's other departments","Male","Heterosexual / straight","95","90","71170","60780"
"In post","2021","Government Actuary's Department","Chancellor's other departments","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Actuary's Department","Chancellor's other departments","Male","Undeclared","25","25","[c]","[c]"
"In post","2021","Government Actuary's Department","Chancellor's other departments","Male","Unknown","5","5","[c]","[c]"
"In post","2021","Government Actuary's Department","Chancellor's other departments","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Government Actuary's Department","Chancellor's other departments","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Internal Audit Agency","HM Treasury","Female","Heterosexual / straight","200","190","45600","42720"
"In post","2021","Government Internal Audit Agency","HM Treasury","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Internal Audit Agency","HM Treasury","Female","Undeclared","30","30","[c]","[c]"
"In post","2021","Government Internal Audit Agency","HM Treasury","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Government Internal Audit Agency","HM Treasury","Male","Heterosexual / straight","190","185","51260","49750"
"In post","2021","Government Internal Audit Agency","HM Treasury","Male","LGBO","10","10","[c]","[c]"
"In post","2021","Government Internal Audit Agency","HM Treasury","Male","Undeclared","20","20","[c]","[c]"
"In post","2021","Government Internal Audit Agency","HM Treasury","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Government Internal Audit Agency","HM Treasury","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Government Internal Audit Agency","HM Treasury","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Legal Department","Attorney General's Departments","Female","Heterosexual / straight","1095","1000","53390","51830"
"In post","2021","Government Legal Department","Attorney General's Departments","Female","LGBO","60","60","50820","51250"
"In post","2021","Government Legal Department","Attorney General's Departments","Female","Undeclared","105","95","53650","52080"
"In post","2021","Government Legal Department","Attorney General's Departments","Female","Unknown","375","330","57850","63730"
"In post","2021","Government Legal Department","Attorney General's Departments","Male","Heterosexual / straight","535","520","52870","51250"
"In post","2021","Government Legal Department","Attorney General's Departments","Male","LGBO","95","95","54030","51830"
"In post","2021","Government Legal Department","Attorney General's Departments","Male","Undeclared","65","65","58090","63730"
"In post","2021","Government Legal Department","Attorney General's Departments","Male","Unknown","200","195","60120","65630"
"In post","2021","Government Legal Department","Attorney General's Departments","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Government Legal Department","Attorney General's Departments","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Other Cabinet Office Agencies","Female","Heterosexual / straight","75","75","46050","45200"
"In post","2021","Government Property Agency","Other Cabinet Office Agencies","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Other Cabinet Office Agencies","Female","Undeclared","10","5","[c]","[c]"
"In post","2021","Government Property Agency","Other Cabinet Office Agencies","Female","Unknown","5","5","[c]","[c]"
"In post","2021","Government Property Agency","Other Cabinet Office Agencies","Male","Heterosexual / straight","85","85","54480","53140"
"In post","2021","Government Property Agency","Other Cabinet Office Agencies","Male","LGBO","10","10","[c]","[c]"
"In post","2021","Government Property Agency","Other Cabinet Office Agencies","Male","Undeclared","10","10","[c]","[c]"
"In post","2021","Government Property Agency","Other Cabinet Office Agencies","Male","Unknown","15","15","[c]","[c]"
"In post","2021","Government Property Agency","Other Cabinet Office Agencies","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Government Property Agency","Other Cabinet Office Agencies","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Department for Work and Pensions","Female","Heterosexual / straight","950","855","38260","35510"
"In post","2021","Health and Safety Executive","Department for Work and Pensions","Female","LGBO","50","50","37920","31710"
"In post","2021","Health and Safety Executive","Department for Work and Pensions","Female","Undeclared","200","180","39270","39330"
"In post","2021","Health and Safety Executive","Department for Work and Pensions","Female","Unknown","100","90","38960","35280"
"In post","2021","Health and Safety Executive","Department for Work and Pensions","Male","Heterosexual / straight","880","855","48630","45870"
"In post","2021","Health and Safety Executive","Department for Work and Pensions","Male","LGBO","45","45","43070","37650"
"In post","2021","Health and Safety Executive","Department for Work and Pensions","Male","Undeclared","225","215","48760","46320"
"In post","2021","Health and Safety Executive","Department for Work and Pensions","Male","Unknown","130","120","46000","41900"
"In post","2021","Health and Safety Executive","Department for Work and Pensions","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Health and Safety Executive","Department for Work and Pensions","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","Ministry of Justice","Female","Heterosexual / straight","8620","7520","24450","21170"
"In post","2021","HM Courts and Tribunals Service","Ministry of Justice","Female","LGBO","265","250","23710","20650"
"In post","2021","HM Courts and Tribunals Service","Ministry of Justice","Female","Undeclared","1365","1195","25240","21180"
"In post","2021","HM Courts and Tribunals Service","Ministry of Justice","Female","Unknown","1485","1350","23440","21300"
"In post","2021","HM Courts and Tribunals Service","Ministry of Justice","Male","Heterosexual / straight","3185","3065","25760","21310"
"In post","2021","HM Courts and Tribunals Service","Ministry of Justice","Male","LGBO","280","270","25650","21170"
"In post","2021","HM Courts and Tribunals Service","Ministry of Justice","Male","Undeclared","615","590","26680","22080"
"In post","2021","HM Courts and Tribunals Service","Ministry of Justice","Male","Unknown","785","765","23790","20780"
"In post","2021","HM Courts and Tribunals Service","Ministry of Justice","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","HM Courts and Tribunals Service","Ministry of Justice","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","HM Land Registry","Female","Heterosexual / straight","2175","1915","31080","27130"
"In post","2021","HM Land Registry","HM Land Registry","Female","LGBO","55","55","27730","22350"
"In post","2021","HM Land Registry","HM Land Registry","Female","Undeclared","430","365","31780","27130"
"In post","2021","HM Land Registry","HM Land Registry","Female","Unknown","1150","1030","27860","27130"
"In post","2021","HM Land Registry","HM Land Registry","Male","Heterosexual / straight","1375","1300","33680","31740"
"In post","2021","HM Land Registry","HM Land Registry","Male","LGBO","85","85","30370","27130"
"In post","2021","HM Land Registry","HM Land Registry","Male","Undeclared","270","245","34720","33840"
"In post","2021","HM Land Registry","HM Land Registry","Male","Unknown","815","780","30010","27130"
"In post","2021","HM Land Registry","HM Land Registry","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","HM Land Registry","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Ministry of Justice","Female","Heterosexual / straight","19080","17730","29680","27380"
"In post","2021","HM Prison and Probation Service","Ministry of Justice","Female","LGBO","1815","1775","29510","27380"
"In post","2021","HM Prison and Probation Service","Ministry of Justice","Female","Undeclared","1935","1780","30620","29750"
"In post","2021","HM Prison and Probation Service","Ministry of Justice","Female","Unknown","4140","3770","27830","25790"
"In post","2021","HM Prison and Probation Service","Ministry of Justice","Male","Heterosexual / straight","18405","17795","31230","30400"
"In post","2021","HM Prison and Probation Service","Ministry of Justice","Male","LGBO","785","765","31100","30220"
"In post","2021","HM Prison and Probation Service","Ministry of Justice","Male","Undeclared","2130","2025","32790","31650"
"In post","2021","HM Prison and Probation Service","Ministry of Justice","Male","Unknown","5750","5390","29540","30400"
"In post","2021","HM Prison and Probation Service","Ministry of Justice","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","HM Prison and Probation Service","Ministry of Justice","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Female","Heterosexual / straight","18710","16600","31730","28130"
"In post","2021","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Female","LGBO","875","825","31730","28130"
"In post","2021","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Female","Undeclared","2285","1970","31470","28130"
"In post","2021","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Female","Unknown","11355","9880","27020","24120"
"In post","2021","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Male","Heterosexual / straight","15910","15315","33940","31810"
"In post","2021","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Male","LGBO","1230","1195","32610","28130"
"In post","2021","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Male","Undeclared","2290","2170","34930","31810"
"In post","2021","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Male","Unknown","10285","9855","29380","25560"
"In post","2021","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","HM Treasury","Female","Heterosexual / straight","765","735","46810","42900"
"In post","2021","HM Treasury (excl. agencies)","HM Treasury","Female","LGBO","70","70","47210","52500"
"In post","2021","HM Treasury (excl. agencies)","HM Treasury","Female","Undeclared","110","110","40380","33820"
"In post","2021","HM Treasury (excl. agencies)","HM Treasury","Female","Unknown","45","40","40700","34470"
"In post","2021","HM Treasury (excl. agencies)","HM Treasury","Male","Heterosexual / straight","760","755","48800","52500"
"In post","2021","HM Treasury (excl. agencies)","HM Treasury","Male","LGBO","80","80","48040","52500"
"In post","2021","HM Treasury (excl. agencies)","HM Treasury","Male","Undeclared","155","155","46030","45230"
"In post","2021","HM Treasury (excl. agencies)","HM Treasury","Male","Unknown","40","40","55410","55390"
"In post","2021","HM Treasury (excl. agencies)","HM Treasury","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury (excl. agencies)","HM Treasury","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Home Office (incl. agencies)","Home Office","Female","Heterosexual / straight","14905","13410","31300","27240"
"In post","2021","Home Office (incl. agencies)","Home Office","Female","LGBO","490","465","31680","25960"
"In post","2021","Home Office (incl. agencies)","Home Office","Female","Undeclared","2080","1845","31740","27370"
"In post","2021","Home Office (incl. agencies)","Home Office","Female","Unknown","840","815","31540","27060"
"In post","2021","Home Office (incl. agencies)","Home Office","Male","Heterosexual / straight","13285","12715","32440","27370"
"In post","2021","Home Office (incl. agencies)","Home Office","Male","LGBO","680","660","33710","28760"
"In post","2021","Home Office (incl. agencies)","Home Office","Male","Undeclared","2150","2035","33720","29080"
"In post","2021","Home Office (incl. agencies)","Home Office","Male","Unknown","945","930","32010","25630"
"In post","2021","Home Office (incl. agencies)","Home Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Home Office (incl. agencies)","Home Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Insolvency Service","Department for Business, Energy and Industrial Strategy","Female","Heterosexual / straight","550","510","33050","29940"
"In post","2021","Insolvency Service","Department for Business, Energy and Industrial Strategy","Female","LGBO","25","25","[c]","[c]"
"In post","2021","Insolvency Service","Department for Business, Energy and Industrial Strategy","Female","Undeclared","30","30","38470","32680"
"In post","2021","Insolvency Service","Department for Business, Energy and Industrial Strategy","Female","Unknown","420","395","28350","25060"
"In post","2021","Insolvency Service","Department for Business, Energy and Industrial Strategy","Male","Heterosexual / straight","365","355","37000","35240"
"In post","2021","Insolvency Service","Department for Business, Energy and Industrial Strategy","Male","LGBO","20","20","[c]","[c]"
"In post","2021","Insolvency Service","Department for Business, Energy and Industrial Strategy","Male","Undeclared","25","25","[c]","[c]"
"In post","2021","Insolvency Service","Department for Business, Energy and Industrial Strategy","Male","Unknown","375","365","31970","28280"
"In post","2021","Insolvency Service","Department for Business, Energy and Industrial Strategy","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Insolvency Service","Department for Business, Energy and Industrial Strategy","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Institute for Apprenticeships and Technical Education","Department for Education","Female","Heterosexual / straight","80","80","47940","49960"
"In post","2021","Institute for Apprenticeships and Technical Education","Department for Education","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Institute for Apprenticeships and Technical Education","Department for Education","Female","Undeclared","5","5","[c]","[c]"
"In post","2021","Institute for Apprenticeships and Technical Education","Department for Education","Female","Unknown","40","40","45550","49960"
"In post","2021","Institute for Apprenticeships and Technical Education","Department for Education","Male","Heterosexual / straight","60","60","53620","50620"
"In post","2021","Institute for Apprenticeships and Technical Education","Department for Education","Male","LGBO","5","5","[c]","[c]"
"In post","2021","Institute for Apprenticeships and Technical Education","Department for Education","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Institute for Apprenticeships and Technical Education","Department for Education","Male","Unknown","15","15","[c]","[c]"
"In post","2021","Institute for Apprenticeships and Technical Education","Department for Education","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Institute for Apprenticeships and Technical Education","Department for Education","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Legal Aid Agency","Ministry of Justice","Female","Heterosexual / straight","580","530","27790","22570"
"In post","2021","Legal Aid Agency","Ministry of Justice","Female","LGBO","15","15","[c]","[c]"
"In post","2021","Legal Aid Agency","Ministry of Justice","Female","Undeclared","70","65","25440","20860"
"In post","2021","Legal Aid Agency","Ministry of Justice","Female","Unknown","45","45","22330","19930"
"In post","2021","Legal Aid Agency","Ministry of Justice","Male","Heterosexual / straight","360","350","31140","25310"
"In post","2021","Legal Aid Agency","Ministry of Justice","Male","LGBO","30","30","[c]","[c]"
"In post","2021","Legal Aid Agency","Ministry of Justice","Male","Undeclared","55","50","29360","22720"
"In post","2021","Legal Aid Agency","Ministry of Justice","Male","Unknown","40","40","24810","19930"
"In post","2021","Legal Aid Agency","Ministry of Justice","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Legal Aid Agency","Ministry of Justice","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Maritime and Coastguard Agency","Department for Transport","Female","Heterosexual / straight","350","325","32930","31040"
"In post","2021","Maritime and Coastguard Agency","Department for Transport","Female","LGBO","15","15","[c]","[c]"
"In post","2021","Maritime and Coastguard Agency","Department for Transport","Female","Undeclared","60","60","32390","29080"
"In post","2021","Maritime and Coastguard Agency","Department for Transport","Female","Unknown","50","45","27930","26590"
"In post","2021","Maritime and Coastguard Agency","Department for Transport","Male","Heterosexual / straight","550","540","40990","36180"
"In post","2021","Maritime and Coastguard Agency","Department for Transport","Male","LGBO","20","20","[c]","[c]"
"In post","2021","Maritime and Coastguard Agency","Department for Transport","Male","Undeclared","105","100","40860","38190"
"In post","2021","Maritime and Coastguard Agency","Department for Transport","Male","Unknown","80","80","32450","27970"
"In post","2021","Maritime and Coastguard Agency","Department for Transport","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Maritime and Coastguard Agency","Department for Transport","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Female","Heterosexual / straight","480","465","45200","40850"
"In post","2021","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Female","LGBO","10","10","[c]","[c]"
"In post","2021","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Female","Undeclared","85","85","49340","45570"
"In post","2021","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Female","Unknown","210","195","48750","42930"
"In post","2021","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Male","Heterosexual / straight","315","310","48110","41040"
"In post","2021","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Male","LGBO","20","20","[c]","[c]"
"In post","2021","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Male","Undeclared","55","55","53020","53620"
"In post","2021","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Male","Unknown","145","140","52880","44230"
"In post","2021","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Met Office","Department for Business, Energy and Industrial Strategy","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Met Office","Department for Business, Energy and Industrial Strategy","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Met Office","Department for Business, Energy and Industrial Strategy","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Met Office","Department for Business, Energy and Industrial Strategy","Female","Unknown","790","735","38220","38200"
"In post","2021","Met Office","Department for Business, Energy and Industrial Strategy","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Met Office","Department for Business, Energy and Industrial Strategy","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Met Office","Department for Business, Energy and Industrial Strategy","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Met Office","Department for Business, Energy and Industrial Strategy","Male","Unknown","1310","1270","41220","39750"
"In post","2021","Met Office","Department for Business, Energy and Industrial Strategy","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Met Office","Department for Business, Energy and Industrial Strategy","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Defence (excl. agencies)","Ministry of Defence","Female","Heterosexual / straight","12820","12125","30740","26670"
"In post","2021","Ministry of Defence (excl. agencies)","Ministry of Defence","Female","LGBO","415","405","30490","26670"
"In post","2021","Ministry of Defence (excl. agencies)","Ministry of Defence","Female","Undeclared","1810","1705","31810","27420"
"In post","2021","Ministry of Defence (excl. agencies)","Ministry of Defence","Female","Unknown","1490","1390","33420","30200"
"In post","2021","Ministry of Defence (excl. agencies)","Ministry of Defence","Male","Heterosexual / straight","15805","15545","32870","29670"
"In post","2021","Ministry of Defence (excl. agencies)","Ministry of Defence","Male","LGBO","485","480","33840","33000"
"In post","2021","Ministry of Defence (excl. agencies)","Ministry of Defence","Male","Undeclared","2630","2575","35000","33300"
"In post","2021","Ministry of Defence (excl. agencies)","Ministry of Defence","Male","Unknown","2245","2205","32210","29200"
"In post","2021","Ministry of Defence (excl. agencies)","Ministry of Defence","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Defence (excl. agencies)","Ministry of Defence","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Female","Heterosexual / straight","1045","995","45450","40400"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Female","LGBO","95","95","42750","39600"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Female","Undeclared","95","90","45540","40760"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Female","Unknown","55","55","48260","48200"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Male","Heterosexual / straight","915","905","46700","41980"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Male","LGBO","115","115","48410","49860"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Male","Undeclared","100","100","45530","45550"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Male","Unknown","80","80","44600","39600"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Ministry of Justice","Female","Heterosexual / straight","2175","2095","40530","36800"
"In post","2021","Ministry of Justice (excl. agencies)","Ministry of Justice","Female","LGBO","130","125","38250","35290"
"In post","2021","Ministry of Justice (excl. agencies)","Ministry of Justice","Female","Undeclared","250","235","42190","36800"
"In post","2021","Ministry of Justice (excl. agencies)","Ministry of Justice","Female","Unknown","500","485","40580","36800"
"In post","2021","Ministry of Justice (excl. agencies)","Ministry of Justice","Male","Heterosexual / straight","1490","1470","44070","40480"
"In post","2021","Ministry of Justice (excl. agencies)","Ministry of Justice","Male","LGBO","170","165","45570","39870"
"In post","2021","Ministry of Justice (excl. agencies)","Ministry of Justice","Male","Undeclared","205","205","44950","40480"
"In post","2021","Ministry of Justice (excl. agencies)","Ministry of Justice","Male","Unknown","420","420","41870","36800"
"In post","2021","Ministry of Justice (excl. agencies)","Ministry of Justice","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Ministry of Justice (excl. agencies)","Ministry of Justice","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","National Crime Agency","Female","Heterosexual / straight","1840","1760","37210","36200"
"In post","2021","National Crime Agency","National Crime Agency","Female","LGBO","110","110","36350","36410"
"In post","2021","National Crime Agency","National Crime Agency","Female","Undeclared","150","145","36610","34140"
"In post","2021","National Crime Agency","National Crime Agency","Female","Unknown","345","325","39420","37520"
"In post","2021","National Crime Agency","National Crime Agency","Male","Heterosexual / straight","2260","2245","42390","40170"
"In post","2021","National Crime Agency","National Crime Agency","Male","LGBO","80","80","38330","36410"
"In post","2021","National Crime Agency","National Crime Agency","Male","Undeclared","190","185","39160","36740"
"In post","2021","National Crime Agency","National Crime Agency","Male","Unknown","505","500","42940","40210"
"In post","2021","National Crime Agency","National Crime Agency","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","National Crime Agency","National Crime Agency","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","National Infrastructure Commission","HM Treasury","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","National Infrastructure Commission","HM Treasury","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","National Infrastructure Commission","HM Treasury","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","National Infrastructure Commission","HM Treasury","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","National Infrastructure Commission","HM Treasury","Male","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","National Infrastructure Commission","HM Treasury","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","National Infrastructure Commission","HM Treasury","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","National Infrastructure Commission","HM Treasury","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","National Infrastructure Commission","HM Treasury","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","National Infrastructure Commission","HM Treasury","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","National Records of Scotland","Scottish Government","Female","Heterosexual / straight","110","105","38920","35110"
"In post","2021","National Records of Scotland","Scottish Government","Female","LGBO","15","15","[c]","[c]"
"In post","2021","National Records of Scotland","Scottish Government","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","National Records of Scotland","Scottish Government","Female","Unknown","105","95","30950","26160"
"In post","2021","National Records of Scotland","Scottish Government","Male","Heterosexual / straight","85","80","35710","34370"
"In post","2021","National Records of Scotland","Scottish Government","Male","LGBO","10","10","[c]","[c]"
"In post","2021","National Records of Scotland","Scottish Government","Male","Undeclared","10","10","[c]","[c]"
"In post","2021","National Records of Scotland","Scottish Government","Male","Unknown","95","90","33270","26160"
"In post","2021","National Records of Scotland","Scottish Government","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","National Records of Scotland","Scottish Government","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Chancellor's other departments","Female","Heterosexual / straight","75","75","46710","43180"
"In post","2021","National Savings and Investments","Chancellor's other departments","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Chancellor's other departments","Female","Undeclared","20","20","[c]","[c]"
"In post","2021","National Savings and Investments","Chancellor's other departments","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Chancellor's other departments","Male","Heterosexual / straight","60","60","54980","49010"
"In post","2021","National Savings and Investments","Chancellor's other departments","Male","LGBO","5","5","[c]","[c]"
"In post","2021","National Savings and Investments","Chancellor's other departments","Male","Undeclared","30","30","58420","49260"
"In post","2021","National Savings and Investments","Chancellor's other departments","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Chancellor's other departments","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","National Savings and Investments","Chancellor's other departments","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Northern Ireland Office","Female","Heterosexual / straight","50","50","44140","36860"
"In post","2021","Northern Ireland Office","Northern Ireland Office","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Northern Ireland Office","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Northern Ireland Office","Female","Unknown","35","35","41030","37080"
"In post","2021","Northern Ireland Office","Northern Ireland Office","Male","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Northern Ireland Office","Northern Ireland Office","Male","LGBO","5","5","[c]","[c]"
"In post","2021","Northern Ireland Office","Northern Ireland Office","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Northern Ireland Office","Male","Unknown","35","35","40400","36800"
"In post","2021","Northern Ireland Office","Northern Ireland Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Northern Ireland Office","Northern Ireland Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Office for Budget Responsibility","HM Treasury","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Office for Budget Responsibility","HM Treasury","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Office for Budget Responsibility","HM Treasury","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Office for Budget Responsibility","HM Treasury","Female","Unknown","15","15","[c]","[c]"
"In post","2021","Office for Budget Responsibility","HM Treasury","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Office for Budget Responsibility","HM Treasury","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Office for Budget Responsibility","HM Treasury","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Office for Budget Responsibility","HM Treasury","Male","Unknown","20","20","[c]","[c]"
"In post","2021","Office for Budget Responsibility","HM Treasury","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Office for Budget Responsibility","HM Treasury","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Female","Heterosexual / straight","990","940","49150","51360"
"In post","2021","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Female","LGBO","50","50","50620","46360"
