"Status","Year","Ethnicity","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","White","Competition and Markets Authority","Statistics","5","5","[c]","[c]"
"In post","2021","White","Department for Business, Energy and Industrial Strategy","Commercial","200","190","43250","40860"
"In post","2021","White","Department for Business, Energy and Industrial Strategy","Communications","170","165","43820","40040"
"In post","2021","White","Department for Business, Energy and Industrial Strategy","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for Business, Energy and Industrial Strategy","Counter Fraud","150","140","40230","39490"
"In post","2021","White","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","690","670","40960","38070"
"In post","2021","White","Department for Business, Energy and Industrial Strategy","Economics","200","195","47410","40220"
"In post","2021","White","Department for Business, Energy and Industrial Strategy","Finance","235","220","46740","45250"
"In post","2021","White","Department for Business, Energy and Industrial Strategy","Human Resources","320","305","41150","39350"
"In post","2021","White","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for Business, Energy and Industrial Strategy","Internal Audit","5","5","[c]","[c]"
"In post","2021","White","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","40","40","39630","36240"
"In post","2021","White","Department for Business, Energy and Industrial Strategy","Legal","60","55","49850","48020"
"In post","2021","White","Department for Business, Energy and Industrial Strategy","Operational Delivery","2520","2340","32840","28970"
"In post","2021","White","Department for Business, Energy and Industrial Strategy","Operational Research","20","20","[c]","[c]"
"In post","2021","White","Department for Business, Energy and Industrial Strategy","Other","35","35","51580","47090"
"In post","2021","White","Department for Business, Energy and Industrial Strategy","Policy","2655","2585","51070","53380"
"In post","2021","White","Department for Business, Energy and Industrial Strategy","Project Delivery","300","290","44110","40780"
"In post","2021","White","Department for Business, Energy and Industrial Strategy","Property","30","25","[c]","[c]"
"In post","2021","White","Department for Business, Energy and Industrial Strategy","Science and Engineering","975","930","42760","40720"
"In post","2021","White","Department for Business, Energy and Industrial Strategy","Security","25","20","[c]","[c]"
"In post","2021","White","Department for Business, Energy and Industrial Strategy","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for Business, Energy and Industrial Strategy","Statistics","40","40","48280","49070"
"In post","2021","White","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for Digital, Culture, Media and Sport","Commercial","5","5","[c]","[c]"
"In post","2021","White","Department for Digital, Culture, Media and Sport","Communications","35","35","56970","53130"
"In post","2021","White","Department for Digital, Culture, Media and Sport","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for Digital, Culture, Media and Sport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2021","White","Department for Digital, Culture, Media and Sport","Economics","40","35","53470","59730"
"In post","2021","White","Department for Digital, Culture, Media and Sport","Finance","40","40","60760","61730"
"In post","2021","White","Department for Digital, Culture, Media and Sport","Human Resources","45","45","51370","41110"
"In post","2021","White","Department for Digital, Culture, Media and Sport","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for Digital, Culture, Media and Sport","International Trade","5","5","[c]","[c]"
"In post","2021","White","Department for Digital, Culture, Media and Sport","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for Digital, Culture, Media and Sport","Operational Delivery","5","5","[c]","[c]"
"In post","2021","White","Department for Digital, Culture, Media and Sport","Operational Research","10","10","[c]","[c]"
"In post","2021","White","Department for Digital, Culture, Media and Sport","Other","55","55","41950","34280"
"In post","2021","White","Department for Digital, Culture, Media and Sport","Policy","775","760","49680","51730"
"In post","2021","White","Department for Digital, Culture, Media and Sport","Project Delivery","140","140","49760","51730"
"In post","2021","White","Department for Digital, Culture, Media and Sport","Property","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for Digital, Culture, Media and Sport","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for Digital, Culture, Media and Sport","Security","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for Digital, Culture, Media and Sport","Social Research","20","20","[c]","[c]"
"In post","2021","White","Department for Digital, Culture, Media and Sport","Statistics","10","10","[c]","[c]"
"In post","2021","White","Department for Education","Commercial","270","265","41460","37280"
"In post","2021","White","Department for Education","Communications","230","220","40380","36960"
"In post","2021","White","Department for Education","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for Education","Digital, Data and Technology","575","555","40450","36980"
"In post","2021","White","Department for Education","Finance","535","515","43730","40860"
"In post","2021","White","Department for Education","Human Resources","115","110","37020","32210"
"In post","2021","White","Department for Education","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for Education","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for Education","Legal","50","50","53050","50630"
"In post","2021","White","Department for Education","Operational Delivery","1130","1090","43030","37100"
"In post","2021","White","Department for Education","Other","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for Education","Planning","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for Education","Policy","2060","1960","47080","45250"
"In post","2021","White","Department for Education","Project Delivery","40","40","47040","49860"
"In post","2021","White","Department for Education","Property","410","400","50980","50630"
"In post","2021","White","Department for Education","Security","20","20","[c]","[c]"
"In post","2021","White","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for Environment, Food and Rural Affairs","Commercial","110","105","38350","36970"
"In post","2021","White","Department for Environment, Food and Rural Affairs","Communications","190","185","40920","37360"
"In post","2021","White","Department for Environment, Food and Rural Affairs","Corporate Finance","10","10","[c]","[c]"
"In post","2021","White","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","510","490","43880","47550"
"In post","2021","White","Department for Environment, Food and Rural Affairs","Economics","105","105","45920","47640"
"In post","2021","White","Department for Environment, Food and Rural Affairs","Finance","285","275","43270","38060"
"In post","2021","White","Department for Environment, Food and Rural Affairs","Human Resources","195","185","43430","38750"
"In post","2021","White","Department for Environment, Food and Rural Affairs","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for Environment, Food and Rural Affairs","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for Environment, Food and Rural Affairs","Operational Delivery","2650","2440","27560","25190"
"In post","2021","White","Department for Environment, Food and Rural Affairs","Operational Research","15","15","[c]","[c]"
"In post","2021","White","Department for Environment, Food and Rural Affairs","Other","25","25","[c]","[c]"
"In post","2021","White","Department for Environment, Food and Rural Affairs","Planning","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for Environment, Food and Rural Affairs","Policy","1675","1620","43590","38750"
"In post","2021","White","Department for Environment, Food and Rural Affairs","Project Delivery","275","260","40410","36520"
"In post","2021","White","Department for Environment, Food and Rural Affairs","Property","300","290","37200","33110"
"In post","2021","White","Department for Environment, Food and Rural Affairs","Science and Engineering","1105","1045","34380","30220"
"In post","2021","White","Department for Environment, Food and Rural Affairs","Social Research","30","30","46690","48200"
"In post","2021","White","Department for Environment, Food and Rural Affairs","Statistics","65","65","38240","33120"
"In post","2021","White","Department for Environment, Food and Rural Affairs","Unknown","30","30","35280","24920"
"In post","2021","White","Department for Environment, Food and Rural Affairs","Veterinarian","285","275","45560","45530"
"In post","2021","White","Department for International Trade","Commercial","20","20","[c]","[c]"
"In post","2021","White","Department for International Trade","Communications","60","60","41820","38540"
"In post","2021","White","Department for International Trade","Digital, Data and Technology","60","60","47590","43000"
"In post","2021","White","Department for International Trade","Economics","75","75","45600","51710"
"In post","2021","White","Department for International Trade","Finance","35","35","58070","53050"
"In post","2021","White","Department for International Trade","Human Resources","70","65","47790","51710"
"In post","2021","White","Department for International Trade","International Trade","670","660","50110","51970"
"In post","2021","White","Department for International Trade","Knowledge and Information Management","10","10","[c]","[c]"
"In post","2021","White","Department for International Trade","Legal","10","10","[c]","[c]"
"In post","2021","White","Department for International Trade","Operational Delivery","50","50","39560","33040"
"In post","2021","White","Department for International Trade","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for International Trade","Other","80","80","40410","35560"
"In post","2021","White","Department for International Trade","Planning","5","5","[c]","[c]"
"In post","2021","White","Department for International Trade","Policy","115","115","46960","40720"
"In post","2021","White","Department for International Trade","Project Delivery","40","35","47940","51710"
"In post","2021","White","Department for International Trade","Property","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for International Trade","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for International Trade","Security","10","10","[c]","[c]"
"In post","2021","White","Department for International Trade","Social Research","20","20","[c]","[c]"
"In post","2021","White","Department for International Trade","Statistics","25","25","[c]","[c]"
"In post","2021","White","Department for Transport","Commercial","215","200","38660","33350"
"In post","2021","White","Department for Transport","Communications","195","185","37040","32180"
"In post","2021","White","Department for Transport","Corporate Finance","20","20","[c]","[c]"
"In post","2021","White","Department for Transport","Counter Fraud","45","40","30630","26780"
"In post","2021","White","Department for Transport","Digital, Data and Technology","845","825","39650","35940"
"In post","2021","White","Department for Transport","Economics","105","100","48790","54110"
"In post","2021","White","Department for Transport","Finance","315","300","39780","36550"
"In post","2021","White","Department for Transport","Human Resources","335","315","36880","32180"
"In post","2021","White","Department for Transport","Intelligence Analysis","5","5","[c]","[c]"
"In post","2021","White","Department for Transport","Internal Audit","10","10","[c]","[c]"
"In post","2021","White","Department for Transport","International Trade","15","15","[c]","[c]"
"In post","2021","White","Department for Transport","Knowledge and Information Management","50","50","36960","33350"
"In post","2021","White","Department for Transport","Legal","5","5","[c]","[c]"
"In post","2021","White","Department for Transport","Medicine","35","30","77080","86520"
"In post","2021","White","Department for Transport","Operational Delivery","7005","6225","25790","23990"
"In post","2021","White","Department for Transport","Operational Research","60","55","37390","34710"
"In post","2021","White","Department for Transport","Other","310","290","44000","32740"
"In post","2021","White","Department for Transport","Policy","910","875","45230","42520"
"In post","2021","White","Department for Transport","Project Delivery","420","410","52330","49240"
"In post","2021","White","Department for Transport","Property","120","110","33090","31040"
"In post","2021","White","Department for Transport","Science and Engineering","110","105","45650","43360"
"In post","2021","White","Department for Transport","Security","185","175","39630","36880"
"In post","2021","White","Department for Transport","Social Research","30","30","50640","54110"
"In post","2021","White","Department for Transport","Statistics","75","70","47370","43130"
"In post","2021","White","Department for Transport","Unknown","120","115","58180","54760"
"In post","2021","White","Department for Work and Pensions","Commercial","30","30","[c]","[c]"
"In post","2021","White","Department for Work and Pensions","Communications","25","25","[c]","[c]"
"In post","2021","White","Department for Work and Pensions","Digital, Data and Technology","45","45","40610","34470"
"In post","2021","White","Department for Work and Pensions","Economics","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for Work and Pensions","Finance","20","20","[c]","[c]"
"In post","2021","White","Department for Work and Pensions","Human Resources","35","30","49770","53360"
"In post","2021","White","Department for Work and Pensions","Knowledge and Information Management","15","15","[c]","[c]"
"In post","2021","White","Department for Work and Pensions","Legal","15","15","[c]","[c]"
"In post","2021","White","Department for Work and Pensions","Operational Delivery","1265","1190","43170","41480"
"In post","2021","White","Department for Work and Pensions","Policy","65","60","48040","44080"
"In post","2021","White","Department for Work and Pensions","Project Delivery","40","35","39450","37170"
"In post","2021","White","Department for Work and Pensions","Property","10","10","[c]","[c]"
"In post","2021","White","Department for Work and Pensions","Science and Engineering","350","325","39250","35910"
"In post","2021","White","Department for Work and Pensions","Security","[c]","[c]","[c]","[c]"
"In post","2021","White","Department for Work and Pensions","Statistics","10","10","[c]","[c]"
"In post","2021","White","Department for Work and Pensions","Unknown","67210","59765","27520","27570"
"In post","2021","White","Department of Health and Social Care","Commercial","95","95","46710","40650"
"In post","2021","White","Department of Health and Social Care","Communications","160","155","46830","41410"
"In post","2021","White","Department of Health and Social Care","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","White","Department of Health and Social Care","Digital, Data and Technology","175","170","45990","41950"
"In post","2021","White","Department of Health and Social Care","Economics","30","30","44070","34900"
"In post","2021","White","Department of Health and Social Care","Finance","235","230","44200","40650"
"In post","2021","White","Department of Health and Social Care","Human Resources","170","165","47380","41050"
"In post","2021","White","Department of Health and Social Care","Intelligence Analysis","90","85","52010","53360"
"In post","2021","White","Department of Health and Social Care","Knowledge and Information Management","395","360","39290","37450"
"In post","2021","White","Department of Health and Social Care","Legal","[c]","[c]","[c]","[c]"
"In post","2021","White","Department of Health and Social Care","Medicine","325","275","95310","92370"
"In post","2021","White","Department of Health and Social Care","Operational Delivery","2325","2115","40490","36330"
"In post","2021","White","Department of Health and Social Care","Operational Research","15","15","[c]","[c]"
"In post","2021","White","Department of Health and Social Care","Other","190","180","54100","53100"
"In post","2021","White","Department of Health and Social Care","Policy","660","640","51100","52080"
"In post","2021","White","Department of Health and Social Care","Project Delivery","10","10","[c]","[c]"
"In post","2021","White","Department of Health and Social Care","Property","25","25","[c]","[c]"
"In post","2021","White","Department of Health and Social Care","Science and Engineering","1790","1655","42860","40070"
"In post","2021","White","Department of Health and Social Care","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","White","Department of Health and Social Care","Statistics","45","45","52810","53360"
"In post","2021","White","Department of Health and Social Care","Unknown","60","60","42690","40450"
"In post","2021","White","ESTYN","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","White","ESTYN","Communications","[c]","[c]","[c]","[c]"
"In post","2021","White","ESTYN","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","White","ESTYN","Finance","[c]","[c]","[c]","[c]"
"In post","2021","White","ESTYN","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","White","ESTYN","Inspector of Education and Training","60","55","74470","74730"
"In post","2021","White","ESTYN","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","White","ESTYN","Operational Delivery","20","20","[c]","[c]"
"In post","2021","White","ESTYN","Other","[c]","[c]","[c]","[c]"
"In post","2021","White","ESTYN","Project Delivery","5","5","[c]","[c]"
"In post","2021","White","ESTYN","Property","[c]","[c]","[c]","[c]"
"In post","2021","White","ESTYN","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","White","ESTYN","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","White","Food Standards Agency","Commercial","10","10","[c]","[c]"
"In post","2021","White","Food Standards Agency","Communications","30","30","44240","40960"
"In post","2021","White","Food Standards Agency","Counter Fraud","50","50","39740","37910"
"In post","2021","White","Food Standards Agency","Digital, Data and Technology","50","50","45440","41020"
"In post","2021","White","Food Standards Agency","Economics","5","5","[c]","[c]"
"In post","2021","White","Food Standards Agency","Finance","40","40","41480","37910"
"In post","2021","White","Food Standards Agency","Human Resources","30","25","[c]","[c]"
"In post","2021","White","Food Standards Agency","Intelligence Analysis","5","5","[c]","[c]"
"In post","2021","White","Food Standards Agency","Internal Audit","5","5","[c]","[c]"
"In post","2021","White","Food Standards Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","White","Food Standards Agency","Legal","15","15","[c]","[c]"
"In post","2021","White","Food Standards Agency","Operational Delivery","540","520","31640","27680"
"In post","2021","White","Food Standards Agency","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","White","Food Standards Agency","Policy","135","135","42870","38010"
"In post","2021","White","Food Standards Agency","Project Delivery","20","20","[c]","[c]"
"In post","2021","White","Food Standards Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","White","Food Standards Agency","Science and Engineering","60","60","43660","40650"
"In post","2021","White","Food Standards Agency","Social Research","10","5","[c]","[c]"
"In post","2021","White","Food Standards Agency","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","White","Food Standards Agency","Unknown","5","5","[c]","[c]"
"In post","2021","White","Food Standards Agency","Veterinarian","50","50","44490","40960"
"In post","2021","White","Foreign, Commonwealth and Development Office","Commercial","115","110","45030","41220"
"In post","2021","White","Foreign, Commonwealth and Development Office","Communications","90","85","48790","46110"
"In post","2021","White","Foreign, Commonwealth and Development Office","Digital, Data and Technology","205","200","43320","40420"
"In post","2021","White","Foreign, Commonwealth and Development Office","Economics","100","100","51960","54710"
"In post","2021","White","Foreign, Commonwealth and Development Office","Finance","170","165","43010","38360"
"In post","2021","White","Foreign, Commonwealth and Development Office","Human Resources","195","190","46320","42460"
"In post","2021","White","Foreign, Commonwealth and Development Office","Intelligence Analysis","125","125","47640","39770"
"In post","2021","White","Foreign, Commonwealth and Development Office","Internal Audit","40","40","43070","38550"
"In post","2021","White","Foreign, Commonwealth and Development Office","Knowledge and Information Management","100","100","45590","38540"
"In post","2021","White","Foreign, Commonwealth and Development Office","Legal","95","75","58110","57920"
"In post","2021","White","Foreign, Commonwealth and Development Office","Medicine","20","20","[c]","[c]"
"In post","2021","White","Foreign, Commonwealth and Development Office","Operational Delivery","445","425","33680","28150"
"In post","2021","White","Foreign, Commonwealth and Development Office","Operational Research","50","50","59190","58900"
"In post","2021","White","Foreign, Commonwealth and Development Office","Other","200","195","67390","70410"
"In post","2021","White","Foreign, Commonwealth and Development Office","Policy","2780","2740","52050","53140"
"In post","2021","White","Foreign, Commonwealth and Development Office","Project Delivery","285","270","42140","38600"
"In post","2021","White","Foreign, Commonwealth and Development Office","Property","375","375","42160","40330"
"In post","2021","White","Foreign, Commonwealth and Development Office","Science and Engineering","15","15","[c]","[c]"
"In post","2021","White","Foreign, Commonwealth and Development Office","Security","300","290","37170","34220"
"In post","2021","White","Foreign, Commonwealth and Development Office","Statistics","30","30","52780","53800"
"In post","2021","White","Foreign, Commonwealth and Development Office","Tax","[c]","[c]","[c]","[c]"
"In post","2021","White","Foreign, Commonwealth and Development Office","Unknown","215","210","53130","52510"
"In post","2021","White","HM Land Registry","Commercial","15","15","[c]","[c]"
"In post","2021","White","HM Land Registry","Communications","10","10","[c]","[c]"
"In post","2021","White","HM Land Registry","Digital, Data and Technology","475","450","38840","38450"
"In post","2021","White","HM Land Registry","Finance","45","45","45450","42100"
"In post","2021","White","HM Land Registry","Human Resources","70","65","43000","38550"
"In post","2021","White","HM Land Registry","Internal Audit","5","5","[c]","[c]"
"In post","2021","White","HM Land Registry","Legal","185","165","51170","60520"
"In post","2021","White","HM Land Registry","Operational Delivery","3755","3330","28990","27130"
"In post","2021","White","HM Land Registry","Other","15","15","[c]","[c]"
"In post","2021","White","HM Land Registry","Project Delivery","100","100","41260","38550"
"In post","2021","White","HM Land Registry","Property","10","10","[c]","[c]"
"In post","2021","White","HM Revenue and Customs","Commercial","55","50","40610","38630"
"In post","2021","White","HM Revenue and Customs","Communications","175","170","45070","39800"
"In post","2021","White","HM Revenue and Customs","Digital, Data and Technology","1220","1155","40430","38630"
"In post","2021","White","HM Revenue and Customs","Economics","75","75","52730","59160"
"In post","2021","White","HM Revenue and Customs","Finance","1145","1005","34120","31810"
"In post","2021","White","HM Revenue and Customs","Human Resources","575","535","42030","38630"
"In post","2021","White","HM Revenue and Customs","Intelligence Analysis","140","130","38630","36160"
"In post","2021","White","HM Revenue and Customs","Internal Audit","55","50","45340","41640"
"In post","2021","White","HM Revenue and Customs","International Trade","70","65","33450","31810"
"In post","2021","White","HM Revenue and Customs","Knowledge and Information Management","30","30","40030","37390"
"In post","2021","White","HM Revenue and Customs","Legal","2375","2255","33430","31810"
"In post","2021","White","HM Revenue and Customs","Operational Delivery","18355","16095","26250","21680"
"In post","2021","White","HM Revenue and Customs","Operational Research","95","90","45580","38630"
"In post","2021","White","HM Revenue and Customs","Other","320","285","42420","38630"
"In post","2021","White","HM Revenue and Customs","Policy","765","715","53580","52580"
"In post","2021","White","HM Revenue and Customs","Project Delivery","1865","1780","43240","38630"
"In post","2021","White","HM Revenue and Customs","Property","1320","1220","37280","33250"
"In post","2021","White","HM Revenue and Customs","Security","115","110","41500","38630"
"In post","2021","White","HM Revenue and Customs","Social Research","65","60","45370","41760"
"In post","2021","White","HM Revenue and Customs","Statistics","190","185","45710","41340"
"In post","2021","White","HM Revenue and Customs","Tax","9930","9295","35870","31810"
"In post","2021","White","HM Revenue and Customs","Unknown","2010","1935","32880","25560"
"In post","2021","White","HM Treasury","Commercial","5","5","[c]","[c]"
"In post","2021","White","HM Treasury","Communications","35","35","48660","43150"
"In post","2021","White","HM Treasury","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","White","HM Treasury","Counter Fraud","30","30","39980","36950"
"In post","2021","White","HM Treasury","Digital, Data and Technology","35","35","55330","57130"
"In post","2021","White","HM Treasury","Economics","110","110","46440","37950"
"In post","2021","White","HM Treasury","Finance","75","70","51200","53340"
"In post","2021","White","HM Treasury","Human Resources","65","60","44760","45270"
"In post","2021","White","HM Treasury","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","White","HM Treasury","Internal Audit","250","240","50390","47110"
"In post","2021","White","HM Treasury","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2021","White","HM Treasury","Legal","[c]","[c]","[c]","[c]"
"In post","2021","White","HM Treasury","Operational Delivery","125","120","39360","30700"
"In post","2021","White","HM Treasury","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","White","HM Treasury","Other","[c]","[c]","[c]","[c]"
"In post","2021","White","HM Treasury","Policy","1060","1040","50470","52500"
"In post","2021","White","HM Treasury","Project Delivery","25","25","[c]","[c]"
"In post","2021","White","HM Treasury","Security","[c]","[c]","[c]","[c]"
"In post","2021","White","HM Treasury","Statistics","10","10","[c]","[c]"
"In post","2021","White","HM Treasury","Tax","40","35","66130","63410"
"In post","2021","White","HM Treasury","Unknown","25","25","[c]","[c]"
"In post","2021","White","Home Office","Commercial","55","55","40980","42100"
"In post","2021","White","Home Office","Communications","135","135","49300","44220"
"In post","2021","White","Home Office","Counter Fraud","145","135","26780","25310"
"In post","2021","White","Home Office","Digital, Data and Technology","715","700","51410","46160"
"In post","2021","White","Home Office","Economics","60","60","49970","41950"
"In post","2021","White","Home Office","Finance","145","140","49950","45070"
"In post","2021","White","Home Office","Human Resources","365","345","44330","37610"
"In post","2021","White","Home Office","Intelligence Analysis","1035","975","29640","27370"
"In post","2021","White","Home Office","Knowledge and Information Management","55","55","43380","41140"
"In post","2021","White","Home Office","Operational Delivery","17320","15825","27750","25310"
"In post","2021","White","Home Office","Operational Research","65","60","48510","43400"
"In post","2021","White","Home Office","Other","1095","1010","35240","30980"
"In post","2021","White","Home Office","Policy","1375","1340","52390","57430"
"In post","2021","White","Home Office","Project Delivery","865","840","45930","41970"
"In post","2021","White","Home Office","Property","15","10","[c]","[c]"
"In post","2021","White","Home Office","Science and Engineering","85","80","48570","41140"
"In post","2021","White","Home Office","Security","205","195","32160","29080"
"In post","2021","White","Home Office","Social Research","85","80","49390","44380"
"In post","2021","White","Home Office","Statistics","60","60","43420","42280"
"In post","2021","White","Home Office","Unknown","185","180","64810","66590"
"In post","2021","White","Ministry of Defence","Commercial","1700","1635","38140","34800"
"In post","2021","White","Ministry of Defence","Communications","485","470","34300","33290"
"In post","2021","White","Ministry of Defence","Corporate Finance","50","50","40220","37830"
"In post","2021","White","Ministry of Defence","Digital, Data and Technology","1085","1055","36690","33300"
"In post","2021","White","Ministry of Defence","Economics","25","25","[c]","[c]"
"In post","2021","White","Ministry of Defence","Finance","1800","1725","38460","33300"
"In post","2021","White","Ministry of Defence","Human Resources","1680","1575","31790","26670"
"In post","2021","White","Ministry of Defence","Intelligence Analysis","680","660","36920","34620"
"In post","2021","White","Ministry of Defence","Internal Audit","115","110","38500","34610"
"In post","2021","White","Ministry of Defence","Knowledge and Information Management","750","730","34130","33000"
"In post","2021","White","Ministry of Defence","Legal","30","30","[c]","[c]"
"In post","2021","White","Ministry of Defence","Medicine","1180","1060","44670","37890"
"In post","2021","White","Ministry of Defence","Operational Delivery","1450","1375","32590","29200"
"In post","2021","White","Ministry of Defence","Operational Research","475","455","43210","46080"
"In post","2021","White","Ministry of Defence","Other","11735","11280","26660","22080"
"In post","2021","White","Ministry of Defence","Planning","10","10","[c]","[c]"
"In post","2021","White","Ministry of Defence","Policy","875","855","44240","40890"
"In post","2021","White","Ministry of Defence","Project Delivery","6485","6295","40230","38190"
"In post","2021","White","Ministry of Defence","Property","2245","2180","32020","33300"
"In post","2021","White","Ministry of Defence","Psychology","40","35","44610","45250"
"In post","2021","White","Ministry of Defence","Science and Engineering","6180","6020","37320","36460"
"In post","2021","White","Ministry of Defence","Security","4835","4735","29150","24610"
"In post","2021","White","Ministry of Defence","Statistics","135","130","40500","38500"
"In post","2021","White","Ministry of Defence","Unknown","1215","1185","35690","33300"
"In post","2021","White","Ministry of Defence","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","White","Ministry of Housing, Communities and Local Government","Commercial","15","15","[c]","[c]"
"In post","2021","White","Ministry of Housing, Communities and Local Government","Communications","75","70","42560","37250"
"In post","2021","White","Ministry of Housing, Communities and Local Government","Digital, Data and Technology","80","75","45790","41170"
"In post","2021","White","Ministry of Housing, Communities and Local Government","Economics","50","50","44710","35060"
"In post","2021","White","Ministry of Housing, Communities and Local Government","Finance","95","90","51120","53130"
"In post","2021","White","Ministry of Housing, Communities and Local Government","Human Resources","70","70","41580","36340"
"In post","2021","White","Ministry of Housing, Communities and Local Government","Internal Audit","5","5","[c]","[c]"
"In post","2021","White","Ministry of Housing, Communities and Local Government","Knowledge and Information Management","40","35","33470","28510"
"In post","2021","White","Ministry of Housing, Communities and Local Government","Legal","[c]","[c]","[c]","[c]"
"In post","2021","White","Ministry of Housing, Communities and Local Government","Operational Delivery","605","575","35240","32530"
"In post","2021","White","Ministry of Housing, Communities and Local Government","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","White","Ministry of Housing, Communities and Local Government","Planning","105","100","49300","42980"
"In post","2021","White","Ministry of Housing, Communities and Local Government","Planning Inspectors","295","260","58310","58810"
"In post","2021","White","Ministry of Housing, Communities and Local Government","Policy","855","835","50120","53130"
"In post","2021","White","Ministry of Housing, Communities and Local Government","Project Delivery","75","70","47800","48200"
"In post","2021","White","Ministry of Housing, Communities and Local Government","Property","[c]","[c]","[c]","[c]"
"In post","2021","White","Ministry of Housing, Communities and Local Government","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","White","Ministry of Housing, Communities and Local Government","Security","[c]","[c]","[c]","[c]"
"In post","2021","White","Ministry of Housing, Communities and Local Government","Social Research","15","15","[c]","[c]"
"In post","2021","White","Ministry of Housing, Communities and Local Government","Statistics","70","70","49430","53130"
"In post","2021","White","Ministry of Justice","Commercial","670","650","48530","46550"
"In post","2021","White","Ministry of Justice","Communications","105","105","43130","39080"
"In post","2021","White","Ministry of Justice","Digital, Data and Technology","595","585","45180","42320"
"In post","2021","White","Ministry of Justice","Economics","35","30","46890","37200"
"In post","2021","White","Ministry of Justice","Finance","505","485","43570","40080"
"In post","2021","White","Ministry of Justice","Human Resources","720","695","42710","41080"
"In post","2021","White","Ministry of Justice","Intelligence Analysis","415","400","30700","28080"
"In post","2021","White","Ministry of Justice","Internal Audit","50","45","49670","51070"
"In post","2021","White","Ministry of Justice","Knowledge and Information Management","50","50","34070","30990"
"In post","2021","White","Ministry of Justice","Legal","845","750","45040","43460"
"In post","2021","White","Ministry of Justice","Operational Delivery","50330","46755","28320","26330"
"In post","2021","White","Ministry of Justice","Operational Research","65","60","46940","46550"
"In post","2021","White","Ministry of Justice","Other","30","30","[c]","[c]"
"In post","2021","White","Ministry of Justice","Planning","[c]","[c]","[c]","[c]"
"In post","2021","White","Ministry of Justice","Policy","725","695","45350","40390"
"In post","2021","White","Ministry of Justice","Project Delivery","370","360","43000","37510"
"In post","2021","White","Ministry of Justice","Property","140","135","39340","32580"
"In post","2021","White","Ministry of Justice","Psychology","1075","1025","35690","30450"
"In post","2021","White","Ministry of Justice","Security","530","525","39610","37170"
"In post","2021","White","Ministry of Justice","Social Research","45","45","50300","49430"
"In post","2021","White","Ministry of Justice","Statistics","70","70","46130","40480"
