"Status","Year","Disability","Organisation","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Undeclared","Registers of Scotland","Outside London","50","50","34980","32140"
"In post","2021","Undeclared","Rural Payments Agency","Outside London","45","40","30290","26520"
"In post","2021","Undeclared","Scotland Office (incl. Office of the Advocate General for Scotland)","London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Scotland Office (incl. Office of the Advocate General for Scotland)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Scottish Government (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Scottish Government (excl. agencies)","Outside London","120","115","42470","39660"
"In post","2021","Undeclared","Scottish Government (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Scottish Housing Regulator","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Scottish Prison Service","Outside London","15","15","[c]","[c]"
"In post","2021","Undeclared","Scottish Public Pensions Agency","Outside London","5","5","[c]","[c]"
"In post","2021","Undeclared","Serious Fraud Office","London","15","15","[c]","[c]"
"In post","2021","Undeclared","Social Security Scotland","Outside London","25","25","[c]","[c]"
"In post","2021","Undeclared","Standards and Testing Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Standards and Testing Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Student Awards Agency for Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Submarine Delivery Agency","Outside London","120","115","43760","41650"
"In post","2021","Undeclared","Submarine Delivery Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Teaching Regulation Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Transport Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","UK Export Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","UK Hydrographic Office","Outside London","65","60","35530","33290"
"In post","2021","Undeclared","UK Space Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","UK Space Agency","Outside London","10","10","[c]","[c]"
"In post","2021","Undeclared","United Kingdom Statistics Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","United Kingdom Statistics Authority","Outside London","120","100","28760","23660"
"In post","2021","Undeclared","Valuation Office Agency","London","80","80","40500","37380"
"In post","2021","Undeclared","Valuation Office Agency","Outside London","220","200","34150","31100"
"In post","2021","Undeclared","Vehicle Certification Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Veterinary Medicines Directorate","Outside London","10","10","[c]","[c]"
"In post","2021","Undeclared","Wales Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Water Services Regulation Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Water Services Regulation Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Welsh Government (excl. agencies)","Outside London","180","170","42290","37410"
"In post","2021","Unknown","Accountant in Bankruptcy","Outside London","40","35","31380","29190"
"In post","2021","Unknown","Advisory, Conciliation and Arbitration Service","London","150","140","41990","38670"
"In post","2021","Unknown","Advisory, Conciliation and Arbitration Service","Outside London","565","515","30760","30950"
"In post","2021","Unknown","Animal and Plant Health Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Animal and Plant Health Agency","Outside London","185","170","29150","25330"
"In post","2021","Unknown","Attorney General's Office","London","30","25","[c]","[c]"
"In post","2021","Unknown","Cabinet Office (excl. agencies)","London","2385","2370","46220","34290"
"In post","2021","Unknown","Cabinet Office (excl. agencies)","Outside London","1135","1110","45310","36320"
"In post","2021","Unknown","Cabinet Office (excl. agencies)","Unknown","445","440","34640","32000"
"In post","2021","Unknown","Centre for Environment, Fisheries and Aquaculture Science","Outside London","175","160","37780","35900"
"In post","2021","Unknown","Charity Commission","London","30","30","42470","37910"
"In post","2021","Unknown","Charity Commission","Outside London","165","155","33030","29230"
"In post","2021","Unknown","Companies House","Outside London","290","260","27770","22490"
"In post","2021","Unknown","Competition and Markets Authority","London","75","70","72600","74650"
"In post","2021","Unknown","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Criminal Injuries Compensation Authority","Outside London","40","35","26630","22570"
"In post","2021","Unknown","Crown Commercial Service","London","40","40","46590","47990"
"In post","2021","Unknown","Crown Commercial Service","Outside London","480","470","35420","34800"
"In post","2021","Unknown","Crown Office and Procurator Fiscal Service","Outside London","40","40","28710","26570"
"In post","2021","Unknown","Crown Prosecution Service","London","370","355","39170","30110"
"In post","2021","Unknown","Crown Prosecution Service","Outside London","1095","1040","36370","33310"
"In post","2021","Unknown","Crown Prosecution Service","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Crown Prosecution Service Inspectorate","London","10","10","[c]","[c]"
"In post","2021","Unknown","Crown Prosecution Service Inspectorate","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Debt Management Office","London","110","110","58840","51550"
"In post","2021","Unknown","Defence Electronics and Components Agency","Outside London","10","10","[c]","[c]"
"In post","2021","Unknown","Defence Equipment and Support","London","35","30","23930","20000"
"In post","2021","Unknown","Defence Equipment and Support","Outside London","1040","1000","34870","32700"
"In post","2021","Unknown","Defence Equipment and Support","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Defence Science and Technology Laboratory","Outside London","735","710","40190","37360"
"In post","2021","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","825","810","45140","40050"
"In post","2021","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","65","65","40250","36740"
"In post","2021","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Department for Digital, Culture, Media and Sport","London","260","255","48770","51730"
"In post","2021","Unknown","Department for Digital, Culture, Media and Sport","Outside London","5","5","[c]","[c]"
"In post","2021","Unknown","Department for Education (excl. agencies)","London","445","435","45600","40230"
"In post","2021","Unknown","Department for Education (excl. agencies)","Outside London","600","590","35660","32870"
"In post","2021","Unknown","Department for Education (excl. agencies)","Unknown","5","5","[c]","[c]"
"In post","2021","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","London","435","425","46800","39910"
"In post","2021","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","395","370","39190","36520"
"In post","2021","Unknown","Department for International Trade","London","910","900","44080","38540"
"In post","2021","Unknown","Department for International Trade","Outside London","35","35","40320","38350"
"In post","2021","Unknown","Department for International Trade","Overseas","60","60","55960","53750"
"In post","2021","Unknown","Department for Transport (excl. agencies)","London","190","185","46840","43360"
"In post","2021","Unknown","Department for Transport (excl. agencies)","Outside London","40","40","43640","38650"
"In post","2021","Unknown","Department for Work and Pensions (excl. agencies)","London","550","535","36720","31060"
"In post","2021","Unknown","Department for Work and Pensions (excl. agencies)","Outside London","2590","2460","26920","27570"
"In post","2021","Unknown","Department for Work and Pensions (excl. agencies)","Unknown","50","50","35020","27570"
"In post","2021","Unknown","Department of Health and Social Care (excl. agencies)","London","1835","1810","47170","40650"
"In post","2021","Unknown","Department of Health and Social Care (excl. agencies)","Outside London","690","670","41560","36820"
"In post","2021","Unknown","Disclosure Scotland","Outside London","150","135","28380","24110"
"In post","2021","Unknown","Driver and Vehicle Licensing Agency","Outside London","670","605","24430","21590"
"In post","2021","Unknown","Driver and Vehicle Standards Agency","London","60","60","31230","30530"
"In post","2021","Unknown","Driver and Vehicle Standards Agency","Outside London","765","750","27850","26580"
"In post","2021","Unknown","Education and Skills Funding Agency","London","25","25","[c]","[c]"
"In post","2021","Unknown","Education and Skills Funding Agency","Outside London","160","160","36220","36500"
"In post","2021","Unknown","Education Scotland","Outside London","170","165","54820","56120"
"In post","2021","Unknown","ESTYN","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","FCDO Services","London","10","10","[c]","[c]"
"In post","2021","Unknown","FCDO Services","Outside London","30","30","40540","37870"
"In post","2021","Unknown","FCDO Services","Overseas","10","10","[c]","[c]"
"In post","2021","Unknown","Food Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Food Standards Scotland","Outside London","125","120","34740","32140"
"In post","2021","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","London","850","825","49950","52430"
"In post","2021","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","310","305","38990","33930"
"In post","2021","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","360","360","55830","55620"
"In post","2021","Unknown","Forestry and Land Scotland","Outside London","45","45","30290","29140"
"In post","2021","Unknown","Government Actuary's Department","London","45","40","54110","50540"
"In post","2021","Unknown","Government Actuary's Department","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Government Internal Audit Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Government Legal Department","London","350","325","57190","61000"
"In post","2021","Unknown","Government Legal Department","Outside London","20","20","[c]","[c]"
"In post","2021","Unknown","Government Property Agency","London","5","5","[c]","[c]"
"In post","2021","Unknown","Government Property Agency","Outside London","5","5","[c]","[c]"
"In post","2021","Unknown","Health and Safety Executive","London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Health and Safety Executive","Outside London","45","45","36170","27570"
"In post","2021","Unknown","HM Courts and Tribunals Service","London","685","675","25410","22680"
"In post","2021","Unknown","HM Courts and Tribunals Service","Outside London","950","905","20470","18880"
"In post","2021","Unknown","HM Courts and Tribunals Service","Unknown","5","5","[c]","[c]"
"In post","2021","Unknown","HM Land Registry","London","115","115","39680","30600"
"In post","2021","Unknown","HM Land Registry","Outside London","1830","1765","26480","22350"
"In post","2021","Unknown","HM Prison and Probation Service","London","810","800","31430","30220"
"In post","2021","Unknown","HM Prison and Probation Service","Outside London","4195","4040","25090","24440"
"In post","2021","Unknown","HM Revenue and Customs (excl. agencies)","London","2225","2115","40910","36160"
"In post","2021","Unknown","HM Revenue and Customs (excl. agencies)","Outside London","17145","15705","26470","21680"
"In post","2021","Unknown","HM Treasury (excl. agencies)","London","55","55","49700","52500"
"In post","2021","Unknown","HM Treasury (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Home Office (incl. agencies)","London","845","835","39780","35050"
"In post","2021","Unknown","Home Office (incl. agencies)","Outside London","1150","1120","26260","24880"
"In post","2021","Unknown","Home Office (incl. agencies)","Overseas","5","5","[c]","[c]"
"In post","2021","Unknown","Home Office (incl. agencies)","Unknown","5","5","[c]","[c]"
"In post","2021","Unknown","Insolvency Service","London","65","60","38660","34500"
"In post","2021","Unknown","Insolvency Service","Outside London","450","445","26880","20880"
"In post","2021","Unknown","Legal Aid Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Legal Aid Agency","Outside London","60","60","21430","19930"
"In post","2021","Unknown","Maritime and Coastguard Agency","London","5","5","[c]","[c]"
"In post","2021","Unknown","Maritime and Coastguard Agency","Outside London","255","245","32010","29350"
"In post","2021","Unknown","Medicines and Healthcare Products Regulatory Agency","London","510","490","47160","40850"
"In post","2021","Unknown","Medicines and Healthcare Products Regulatory Agency","Outside London","190","185","42450","40850"
"In post","2021","Unknown","Ministry of Defence (excl. agencies)","London","620","605","41180","37760"
"In post","2021","Unknown","Ministry of Defence (excl. agencies)","Outside London","5030","4835","30860","26670"
"In post","2021","Unknown","Ministry of Defence (excl. agencies)","Overseas","290","285","45570","43270"
"In post","2021","Unknown","Ministry of Defence (excl. agencies)","Unknown","60","60","37670","31780"
"In post","2021","Unknown","Ministry of Housing, Communities and Local Government (excl. agencies)","London","160","160","47510","42910"
"In post","2021","Unknown","Ministry of Housing, Communities and Local Government (excl. agencies)","Outside London","65","60","41050","36340"
"In post","2021","Unknown","Ministry of Justice (excl. agencies)","London","575","570","43290","38370"
"In post","2021","Unknown","Ministry of Justice (excl. agencies)","Outside London","180","175","38110","34320"
"In post","2021","Unknown","National Crime Agency","London","1080","1060","42480","40170"
"In post","2021","Unknown","National Crime Agency","Outside London","2335","2285","35930","36410"
"In post","2021","Unknown","National Crime Agency","Overseas","55","55","68210","65960"
"In post","2021","Unknown","National Crime Agency","Unknown","55","55","44560","43710"
"In post","2021","Unknown","National Records of Scotland","Outside London","180","170","33200","28170"
"In post","2021","Unknown","Northern Ireland Office","London","35","35","45610","40500"
"In post","2021","Unknown","Northern Ireland Office","Outside London","30","30","[c]","[c]"
"In post","2021","Unknown","Office for Budget Responsibility","London","35","35","51010","54690"
"In post","2021","Unknown","Office for Standards in Education, Children's Services and Skills","London","50","45","51820","51360"
"In post","2021","Unknown","Office for Standards in Education, Children's Services and Skills","Outside London","120","110","38640","32010"
"In post","2021","Unknown","Office of Gas and Electricity Markets","London","65","65","52720","48810"
"In post","2021","Unknown","Office of Gas and Electricity Markets","Outside London","40","40","37390","30950"
"In post","2021","Unknown","Office of Qualifications and Examinations Regulation","Outside London","70","65","50580","46660"
"In post","2021","Unknown","Office of the Public Guardian","Outside London","155","145","20560","19930"
"In post","2021","Unknown","Office of the Scottish Charity Regulator","Outside London","20","20","[c]","[c]"
"In post","2021","Unknown","Planning Inspectorate","Outside London","155","140","41620","40720"
"In post","2021","Unknown","Public Health England","London","660","615","53400","46980"
"In post","2021","Unknown","Public Health England","Outside London","930","860","47910","40590"
"In post","2021","Unknown","Registers of Scotland","Outside London","430","400","31860","30080"
"In post","2021","Unknown","Revenue Scotland","Outside London","30","30","44720","42190"
"In post","2021","Unknown","Royal Fleet Auxiliary","Unknown","1835","1835","37620","34460"
"In post","2021","Unknown","Rural Payments Agency","Outside London","20","20","[c]","[c]"
"In post","2021","Unknown","Scotland Office (incl. Office of the Advocate General for Scotland)","London","25","20","[c]","[c]"
"In post","2021","Unknown","Scotland Office (incl. Office of the Advocate General for Scotland)","Outside London","40","40","45960","47760"
"In post","2021","Unknown","Scottish Courts and Tribunals Service","Outside London","1665","1505","27730","22820"
"In post","2021","Unknown","Scottish Fiscal Commission","Outside London","10","10","[c]","[c]"
"In post","2021","Unknown","Scottish Forestry","Outside London","10","5","[c]","[c]"
"In post","2021","Unknown","Scottish Government (excl. agencies)","London","5","5","[c]","[c]"
"In post","2021","Unknown","Scottish Government (excl. agencies)","Outside London","2610","2500","41480","37580"
"In post","2021","Unknown","Scottish Government (excl. agencies)","Overseas","10","10","[c]","[c]"
"In post","2021","Unknown","Scottish Housing Regulator","Outside London","15","15","[c]","[c]"
"In post","2021","Unknown","Scottish Prison Service","Outside London","4015","3770","31420","33650"
"In post","2021","Unknown","Scottish Public Pensions Agency","Outside London","125","110","27820","24110"
"In post","2021","Unknown","Serious Fraud Office","London","130","125","47590","41240"
"In post","2021","Unknown","Social Security Scotland","Outside London","325","315","32890","27150"
"In post","2021","Unknown","Standards and Testing Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Standards and Testing Agency","Outside London","10","10","[c]","[c]"
"In post","2021","Unknown","Student Awards Agency for Scotland","Outside London","150","140","27110","22230"
"In post","2021","Unknown","Submarine Delivery Agency","Outside London","205","195","42670","40940"
"In post","2021","Unknown","Submarine Delivery Agency","Overseas","5","5","[c]","[c]"
"In post","2021","Unknown","Teaching Regulation Agency","Outside London","10","10","[c]","[c]"
"In post","2021","Unknown","The National Archives","London","170","160","36230","32200"
"In post","2021","Unknown","Transport Scotland","Outside London","185","180","45010","44160"
"In post","2021","Unknown","UK Hydrographic Office","Outside London","210","200","34120","33290"
"In post","2021","Unknown","UK Hydrographic Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","UK Intellectual Property Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","UK Intellectual Property Office","Outside London","400","385","32500","26860"
"In post","2021","Unknown","UK Space Agency","London","65","65","46540","40220"
"In post","2021","Unknown","UK Space Agency","Outside London","35","35","42900","40410"
"In post","2021","Unknown","United Kingdom Statistics Authority","London","205","200","40410","32540"
"In post","2021","Unknown","United Kingdom Statistics Authority","Outside London","2090","1890","29940","29540"
"In post","2021","Unknown","Valuation Office Agency","London","100","95","38330","35100"
"In post","2021","Unknown","Valuation Office Agency","Outside London","595","560","26900","24500"
"In post","2021","Unknown","Vehicle Certification Agency","Outside London","20","20","[c]","[c]"
"In post","2021","Unknown","Veterinary Medicines Directorate","Outside London","10","10","[c]","[c]"
"In post","2021","Unknown","Wales Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Wales Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Water Services Regulation Authority","London","25","25","[c]","[c]"
"In post","2021","Unknown","Water Services Regulation Authority","Outside London","45","45","49250","43040"
"In post","2021","Unknown","Welsh Government (excl. agencies)","Outside London","275","260","37430","29400"
"In post","2021","Unknown","Welsh Government (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Welsh Revenue Authority","Outside London","70","70","45660","43760"
"In post","2021","Unknown","Wilton Park","Outside London","15","15","[c]","[c]"
"Leaver CS","2021","Declared disabled","Accountant in Bankruptcy","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Animal and Plant Health Agency","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Animal and Plant Health Agency","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Attorney General's Office","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Cabinet Office (excl. agencies)","London","15","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Cabinet Office (excl. agencies)","Outside London","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Charity Commission","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Companies House","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Competition and Markets Authority","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Criminal Injuries Compensation Authority","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Crown Commercial Service","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Crown Commercial Service","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Crown Prosecution Service","London","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Crown Prosecution Service","Outside London","15","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Crown Prosecution Service Inspectorate","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Crown Prosecution Service Inspectorate","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Debt Management Office","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Defence Electronics and Components Agency","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Defence Equipment and Support","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Defence Equipment and Support","Outside London","60","[c]","30380","31490"
"Leaver CS","2021","Declared disabled","Defence Equipment and Support","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Defence Equipment and Support","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Defence Science and Technology Laboratory","Outside London","30","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Department for Digital, Culture, Media and Sport","London","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Department for Education (excl. agencies)","London","15","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Department for Education (excl. agencies)","Outside London","15","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Department for International Development","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Department for International Development","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Department for International Development","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Department for International Trade","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Department for International Trade","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Department for Transport (excl. agencies)","London","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Department for Transport (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Department for Work and Pensions (excl. agencies)","London","70","[c]","31990","31060"
"Leaver CS","2021","Declared disabled","Department for Work and Pensions (excl. agencies)","Outside London","585","[c]","25790","26890"
"Leaver CS","2021","Declared disabled","Department for Work and Pensions (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Department of Health and Social Care (excl. agencies)","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Department of Health and Social Care (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Disclosure Scotland","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Driver and Vehicle Licensing Agency","Outside London","50","[c]","20570","21170"
"Leaver CS","2021","Declared disabled","Driver and Vehicle Standards Agency","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Driver and Vehicle Standards Agency","Outside London","20","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Education and Skills Funding Agency","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Education and Skills Funding Agency","Outside London","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Education Scotland","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","ESTYN","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","FCDO Services","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","FCDO Services","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Food Standards Agency","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Food Standards Agency","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Food Standards Scotland","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Foreign and Commonwealth Office (excl. agencies)","London","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Foreign and Commonwealth Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Foreign and Commonwealth Office (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","London","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Forestry and Land Scotland","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Government Actuary's Department","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Government Internal Audit Agency","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Government Internal Audit Agency","Outside London","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Government Legal Department","London","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Government Legal Department","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Government Property Agency","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Government Property Agency","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Government Property Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Health and Safety Executive","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Health and Safety Executive","Outside London","15","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","HM Courts and Tribunals Service","London","25","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","HM Courts and Tribunals Service","Outside London","145","[c]","21530","19930"
"Leaver CS","2021","Declared disabled","HM Courts and Tribunals Service","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","HM Land Registry","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","HM Land Registry","Outside London","25","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","HM Prison and Probation Service","London","35","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","HM Prison and Probation Service","Outside London","390","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","HM Revenue and Customs (excl. agencies)","London","65","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","HM Revenue and Customs (excl. agencies)","Outside London","550","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","HM Revenue and Customs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","HM Treasury (excl. agencies)","London","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","HM Treasury (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Home Office (incl. agencies)","London","50","[c]","36250","29080"
"Leaver CS","2021","Declared disabled","Home Office (incl. agencies)","Outside London","95","[c]","26060","24890"
"Leaver CS","2021","Declared disabled","Home Office (incl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Home Office (incl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Insolvency Service","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Insolvency Service","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Institute for Apprenticeships and Technical Education","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Institute for Apprenticeships and Technical Education","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Legal Aid Agency","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Legal Aid Agency","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Legal Aid Agency","Unknown","[c]","[c]","[c]","[c]"
