"Status","Year","Function_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Project Delivery","Charity Commission","15","15","32930","29160"
"In post","2021","Project Delivery","Companies House","15","15","43350","46140"
"In post","2021","Project Delivery","Competition and Markets Authority","375","360","60880","56360"
"In post","2021","Project Delivery","Crown Commercial Service","25","25","47290","46920"
"In post","2021","Project Delivery","Debt Management Office","5","5","[c]","[c]"
"In post","2021","Project Delivery","Defence Electronics and Components Agency","360","345","27490","28110"
"In post","2021","Project Delivery","Defence Equipment and Support","9115","8820","36250","33740"
"In post","2021","Project Delivery","Defence Science and Technology Laboratory","1010","960","40910","37360"
"In post","2021","Project Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","110","105","51390","53380"
"In post","2021","Project Delivery","Department for Digital, Culture, Media and Sport","210","205","48480","51730"
"In post","2021","Project Delivery","Department for Education (excl. agencies)","465","455","49300","50630"
"In post","2021","Project Delivery","Department for Environment, Food and Rural Affairs (excl. agencies)","235","225","42220","37110"
"In post","2021","Project Delivery","Department for International Trade","45","45","50560","51970"
"In post","2021","Project Delivery","Department for Transport (excl. agencies)","445","435","53950","54380"
"In post","2021","Project Delivery","Department of Health and Social Care (excl. agencies)","20","20","51790","54150"
"In post","2021","Project Delivery","Driver and Vehicle Licensing Agency","85","85","39900","39040"
"In post","2021","Project Delivery","Driver and Vehicle Standards Agency","85","85","38290","39470"
"In post","2021","Project Delivery","Education and Skills Funding Agency","60","55","34310","30200"
"In post","2021","Project Delivery","ESTYN","5","5","[c]","[c]"
"In post","2021","Project Delivery","FCDO Services","70","70","39490","35390"
"In post","2021","Project Delivery","Food Standards Agency","25","20","41020","37910"
"In post","2021","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","1950","1900","52030","53610"
"In post","2021","Project Delivery","Forestry and Land Scotland","110","105","35530","35680"
"In post","2021","Project Delivery","Government Actuary's Department","5","5","[c]","[c]"
"In post","2021","Project Delivery","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Government Legal Department","35","35","46530","38850"
"In post","2021","Project Delivery","Government Property Agency","35","35","48550","42100"
"In post","2021","Project Delivery","Health and Safety Executive","45","40","38640","35910"
"In post","2021","Project Delivery","HM Courts and Tribunals Service","380","375","40700","36800"
"In post","2021","Project Delivery","HM Land Registry","140","140","40870","38550"
"In post","2021","Project Delivery","HM Revenue and Customs (excl. agencies)","4490","4245","43800","38630"
"In post","2021","Project Delivery","HM Treasury (excl. agencies)","25","20","46170","44670"
"In post","2021","Project Delivery","Insolvency Service","40","35","43010","43200"
"In post","2021","Project Delivery","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Legal Aid Agency","5","5","[c]","[c]"
"In post","2021","Project Delivery","Met Office","420","400","40830","39650"
"In post","2021","Project Delivery","Ministry of Defence (excl. agencies)","4630","4515","39690","37000"
"In post","2021","Project Delivery","Ministry of Housing, Communities and Local Government (excl. agencies)","115","110","47560","48200"
"In post","2021","Project Delivery","Ministry of Justice (excl. agencies)","330","325","40590","36800"
"In post","2021","Project Delivery","National Crime Agency","95","90","46620","45480"
"In post","2021","Project Delivery","National Savings and Investments","10","10","[c]","[c]"
"In post","2021","Project Delivery","Office for Standards in Education, Children's Services and Skills","30","30","43520","39850"
"In post","2021","Project Delivery","Office of Gas and Electricity Markets","15","15","49020","42810"
"In post","2021","Project Delivery","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Planning Inspectorate","15","10","43900","40720"
"In post","2021","Project Delivery","Queen Elizabeth II Centre","20","20","37120","34090"
"In post","2021","Project Delivery","Registers of Scotland","15","15","40010","42890"
"In post","2021","Project Delivery","Rural Payments Agency","145","135","37900","36520"
"In post","2021","Project Delivery","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Scottish Forestry","155","145","35120","34740"
"In post","2021","Project Delivery","Scottish Prison Service","15","10","52110","51660"
"In post","2021","Project Delivery","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Submarine Delivery Agency","1325","1300","42160","40080"
"In post","2021","Project Delivery","UK Export Finance","15","15","48190","41920"
"In post","2021","Project Delivery","UK Hydrographic Office","5","5","[c]","[c]"
"In post","2021","Project Delivery","UK Intellectual Property Office","35","30","48390","41000"
"In post","2021","Project Delivery","UK Space Agency","215","210","47130","49080"
"In post","2021","Project Delivery","United Kingdom Statistics Authority","230","220","40440","36030"
"In post","2021","Project Delivery","Valuation Office Agency","75","70","40990","37750"
"In post","2021","Project Delivery","Water Services Regulation Authority","10","10","48250","45810"
"In post","2021","Project Delivery","Wilton Park","35","30","38500","31360"
"In post","2021","Property","Cabinet Office (excl. agencies)","105","100","50780","52720"
"In post","2021","Property","Companies House","10","5","[c]","[c]"
"In post","2021","Property","Competition and Markets Authority","5","5","[c]","[c]"
"In post","2021","Property","Defence Electronics and Components Agency","15","15","28970","25200"
"In post","2021","Property","Defence Equipment and Support","225","215","39870","37400"
"In post","2021","Property","Defence Science and Technology Laboratory","35","35","44810","46080"
"In post","2021","Property","Department for Business, Energy and Industrial Strategy (excl. agencies)","10","10","55100","53380"
"In post","2021","Property","Department for Digital, Culture, Media and Sport","5","5","[c]","[c]"
"In post","2021","Property","Department for Education (excl. agencies)","265","260","49590","50630"
"In post","2021","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","390","370","36760","32560"
"In post","2021","Property","Department for International Trade","5","5","[c]","[c]"
"In post","2021","Property","Department for Transport (excl. agencies)","15","15","49030","44480"
"In post","2021","Property","Department of Health and Social Care (excl. agencies)","20","20","40270","36820"
"In post","2021","Property","Driver and Vehicle Licensing Agency","55","50","30360","30540"
"In post","2021","Property","Driver and Vehicle Standards Agency","65","60","32390","31380"
"In post","2021","Property","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Property","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Property","FCDO Services","375","375","39290","37360"
"In post","2021","Property","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Property","Foreign, Commonwealth and Development Office (excl. agencies)","80","80","52780","49300"
"In post","2021","Property","Forestry and Land Scotland","715","690","30240","28120"
"In post","2021","Property","Government Property Agency","45","45","50860","49700"
"In post","2021","Property","Health and Safety Executive","15","10","31830","30920"
"In post","2021","Property","HM Courts and Tribunals Service","80","80","39960","31470"
"In post","2021","Property","HM Land Registry","20","20","41960","39980"
"In post","2021","Property","HM Revenue and Customs (excl. agencies)","250","235","39460","38630"
"In post","2021","Property","HM Treasury (excl. agencies)","5","5","[c]","[c]"
"In post","2021","Property","Maritime and Coastguard Agency","15","15","33480","26780"
"In post","2021","Property","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Property","Met Office","25","25","34570","32810"
"In post","2021","Property","Ministry of Defence (excl. agencies)","2455","2380","31410","33300"
"In post","2021","Property","Ministry of Justice (excl. agencies)","280","270","40400","36200"
"In post","2021","Property","National Crime Agency","30","30","43170","39510"
"In post","2021","Property","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Property","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Property","Office for Standards in Education, Children's Services and Skills","15","15","31410","25880"
"In post","2021","Property","Office of Gas and Electricity Markets","5","5","[c]","[c]"
"In post","2021","Property","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Property","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Property","Public Health England","20","15","42090","33530"
"In post","2021","Property","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Property","Registers of Scotland","10","10","[c]","[c]"
"In post","2021","Property","Scottish Courts and Tribunals Service","15","15","39890","37880"
"In post","2021","Property","Scottish Forestry","30","25","36620","36610"
"In post","2021","Property","Scottish Prison Service","250","245","30070","28870"
"In post","2021","Property","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Property","The National Archives","10","10","39600","36720"
"In post","2021","Property","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Property","UK Intellectual Property Office","35","35","27460","23320"
"In post","2021","Property","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Property","United Kingdom Statistics Authority","15","15","37400","36030"
"In post","2021","Property","Valuation Office Agency","3255","3010","32920","29630"
"In post","2021","Property","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Property","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Property","Wilton Park","5","5","[c]","[c]"
"In post","2021","Security","Cabinet Office (excl. agencies)","870","835","33080","33300"
"In post","2021","Security","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Security","Companies House","5","5","[c]","[c]"
"In post","2021","Security","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Security","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Security","Crown Prosecution Service","20","20","40190","38180"
"In post","2021","Security","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Security","Defence Science and Technology Laboratory","55","55","36070","37320"
"In post","2021","Security","Department for Business, Energy and Industrial Strategy (excl. agencies)","20","20","45070","40220"
"In post","2021","Security","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Security","Department for Education (excl. agencies)","30","30","38400","36640"
"In post","2021","Security","Department for International Trade","25","25","41700","38540"
"In post","2021","Security","Driver and Vehicle Licensing Agency","120","115","30490","26350"
"In post","2021","Security","Driver and Vehicle Standards Agency","10","10","35790","32380"
"In post","2021","Security","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Security","FCDO Services","235","225","35300","32200"
"In post","2021","Security","Food Standards Agency","5","5","[c]","[c]"
"In post","2021","Security","Foreign, Commonwealth and Development Office (excl. agencies)","330","325","43190","36450"
"In post","2021","Security","Government Actuary's Department","5","5","[c]","[c]"
"In post","2021","Security","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Security","HM Prison and Probation Service","675","670","39330","36720"
"In post","2021","Security","HM Revenue and Customs (excl. agencies)","185","180","40830","38630"
"In post","2021","Security","Ministry of Defence (excl. agencies)","6025","5915","29080","25390"
"In post","2021","Security","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Security","National Crime Agency","40","35","34390","33490"
"In post","2021","Security","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Security","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Security","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Security","Registers of Scotland","15","15","41830","36780"
"In post","2021","Security","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Security","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Security","UK Hydrographic Office","10","10","35990","31040"
"In post","2021","Security","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Security","United Kingdom Statistics Authority","35","35","39190","36030"
"In post","2021","Security","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Accountant in Bankruptcy","115","105","31670","29190"
"In post","2021","Unknown","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Charity Commission","245","235","32470","29160"
"In post","2021","Unknown","Companies House","10","10","68030","72520"
"In post","2021","Unknown","Crown Commercial Service","10","10","49990","35760"
"In post","2021","Unknown","Crown Prosecution Service","40","40","60170","56580"
"In post","2021","Unknown","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Defence Equipment and Support","135","125","37260","35530"
"In post","2021","Unknown","Department for Education (excl. agencies)","570","550","51130","46030"
"In post","2021","Unknown","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Department for Work and Pensions (excl. agencies)","90950","81415","27650","27570"
"In post","2021","Unknown","Department of Health and Social Care (excl. agencies)","60","60","52120","53360"
"In post","2021","Unknown","Disclosure Scotland","310","290","28110","23170"
"In post","2021","Unknown","Education and Skills Funding Agency","25","25","73170","74550"
"In post","2021","Unknown","Education Scotland","315","300","55840","61010"
"In post","2021","Unknown","FCDO Services","35","30","41790","34530"
"In post","2021","Unknown","Food Standards Agency","10","10","[c]","[c]"
"In post","2021","Unknown","Food Standards Scotland","250","245","35100","30650"
"In post","2021","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","300","295","51940","50430"
"In post","2021","Unknown","Government Internal Audit Agency","35","30","42090","34090"
"In post","2021","Unknown","Government Legal Department","10","10","41910","30290"
"In post","2021","Unknown","Government Property Agency","55","55","49900","49700"
"In post","2021","Unknown","HM Treasury (excl. agencies)","30","30","35120","23400"
"In post","2021","Unknown","Home Office (incl. agencies)","35375","32875","31970","27370"
"In post","2021","Unknown","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Medicines and Healthcare Products Regulatory Agency","1135","1095","48710","41520"
"In post","2021","Unknown","Met Office","20","20","47610","46100"
"In post","2021","Unknown","Ministry of Defence (excl. agencies)","18190","17480","30580","26670"
"In post","2021","Unknown","National Records of Scotland","435","410","34520","32140"
"In post","2021","Unknown","Office for Budget Responsibility","35","35","51010","54690"
"In post","2021","Unknown","Office of the Scottish Charity Regulator","50","45","37670","33620"
"In post","2021","Unknown","Revenue Scotland","55","55","43440","38540"
"In post","2021","Unknown","Royal Fleet Auxiliary","1835","1835","37620","34460"
"In post","2021","Unknown","Scotland Office (incl. Office of the Advocate General for Scotland)","105","100","47590","46600"
"In post","2021","Unknown","Scottish Fiscal Commission","20","20","47760","46600"
"In post","2021","Unknown","Scottish Government (excl. agencies)","7815","7490","43090","38540"
"In post","2021","Unknown","Scottish Housing Regulator","50","45","54160","52480"
"In post","2021","Unknown","Scottish Prison Service","5","5","[c]","[c]"
"In post","2021","Unknown","Scottish Public Pensions Agency","285","260","29650","26160"
"In post","2021","Unknown","Social Security Scotland","1135","1100","31620","26650"
"In post","2021","Unknown","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Student Awards Agency for Scotland","240","230","29770","26160"
"In post","2021","Unknown","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Transport Scotland","495","480","44230","42190"
"In post","2021","Unknown","UK Intellectual Property Office","10","10","[c]","[c]"
"In post","2021","Unknown","Veterinary Medicines Directorate","155","150","43500","40060"
"In post","2021","Unknown","Welsh Government (excl. agencies)","5705","5390","40990","37410"
"In post","2021","Unknown","Welsh Revenue Authority","40","40","45420","43760"
"Leaver CS","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","30","[c]","33240","29750"
"Leaver CS","2021","Analysis","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Competition and Markets Authority","10","[c]","55840","59010"
"Leaver CS","2021","Analysis","Debt Management Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Defence Science and Technology Laboratory","5","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","25","[c]","28600","24300"
"Leaver CS","2021","Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Department for International Trade","15","[c]","26160","24410"
"Leaver CS","2021","Analysis","Government Actuary's Department","15","[c]","43100","32730"
"Leaver CS","2021","Analysis","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","HM Treasury (excl. agencies)","20","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Ministry of Defence (excl. agencies)","5","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","10","[c]","31550","26340"
"Leaver CS","2021","Analysis","Ministry of Justice (excl. agencies)","20","[c]","41430","40480"
"Leaver CS","2021","Analysis","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Office for Standards in Education, Children's Services and Skills","10","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","Office of Gas and Electricity Markets","5","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","United Kingdom Statistics Authority","70","[c]","29110","22130"
"Leaver CS","2021","Analysis","Water Services Regulation Authority","10","[c]","60410","62220"
"Leaver CS","2021","Commercial","Cabinet Office (excl. agencies)","65","[c]","78260","68000"
"Leaver CS","2021","Commercial","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Crown Commercial Service","15","[c]","31930","34580"
"Leaver CS","2021","Commercial","Defence Equipment and Support","15","[c]","50610","40000"
"Leaver CS","2021","Commercial","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","10","[c]","35000","36070"
"Leaver CS","2021","Commercial","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","FCDO Services","5","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","HM Prison and Probation Service","10","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Ministry of Defence (excl. agencies)","60","[c]","34730","33460"
"Leaver CS","2021","Commercial","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Ministry of Justice (excl. agencies)","20","[c]","33700","30350"
"Leaver CS","2021","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","UK Export Finance","15","[c]","48320","47120"
"Leaver CS","2021","Commercial","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Cabinet Office (excl. agencies)","40","[c]","43370","40300"
"Leaver CS","2021","Communications","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Competition and Markets Authority","5","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Defence Equipment and Support","20","[c]","28480","22010"
"Leaver CS","2021","Communications","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","10","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","20","[c]","38810","36430"
"Leaver CS","2021","Communications","Department for International Trade","15","[c]","48840","40070"
"Leaver CS","2021","Communications","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Ministry of Defence (excl. agencies)","35","[c]","32330","32860"
"Leaver CS","2021","Communications","Ministry of Housing, Communities and Local Government (excl. agencies)","10","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Ministry of Justice (excl. agencies)","5","[c]","[c]","[c]"
"Leaver CS","2021","Communications","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Public Health England","15","[c]","36290","33100"
"Leaver CS","2021","Communications","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Wales Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Cabinet Office (excl. agencies)","10","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Insolvency Service","10","[c]","42530","39490"
"Leaver CS","2021","Counter Fraud","Serious Fraud Office","15","[c]","44860","35770"
"Leaver CS","2021","Debt","Debt Management Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Cabinet Office (excl. agencies)","50","[c]","45650","48190"
"Leaver CS","2021","Digital, Data & Technology","Companies House","10","[c]","37340","37860"
"Leaver CS","2021","Digital, Data & Technology","Competition and Markets Authority","10","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Crown Commercial Service","5","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Crown Office and Procurator Fiscal Service","5","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Debt Management Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","30","[c]","46190","47680"
"Leaver CS","2021","Digital, Data & Technology","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Department for International Trade","10","[c]","42270","51970"
"Leaver CS","2021","Digital, Data & Technology","Driver and Vehicle Licensing Agency","30","[c]","36560","28700"
"Leaver CS","2021","Digital, Data & Technology","Driver and Vehicle Standards Agency","5","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","FCDO Services","10","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Foreign, Commonwealth and Development Office (excl. agencies)","5","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Health and Safety Executive","5","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","HM Courts and Tribunals Service","10","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","HM Land Registry","30","[c]","34960","31740"
"Leaver CS","2021","Digital, Data & Technology","Insolvency Service","5","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Maritime and Coastguard Agency","10","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Ministry of Defence (excl. agencies)","30","[c]","32380","28910"
"Leaver CS","2021","Digital, Data & Technology","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Ministry of Justice (excl. agencies)","30","[c]","50830","52850"
"Leaver CS","2021","Digital, Data & Technology","National Crime Agency","10","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
