"Status","Year","Ethnicity","Organisation","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Economics","20","20","[c]","[c]"
"In post","2021","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Finance","200","175","30360","21440"
"In post","2021","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Human Resources","80","75","37520","36160"
"In post","2021","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Intelligence Analysis","30","30","32630","31810"
"In post","2021","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","International Trade","35","35","33240","31810"
"In post","2021","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2021","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Legal","750","720","32480","29570"
"In post","2021","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Operational Delivery","5935","5265","23610","21440"
"In post","2021","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Operational Research","20","20","[c]","[c]"
"In post","2021","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Other","70","65","39650","32520"
"In post","2021","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Policy","140","130","52000","52580"
"In post","2021","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Project Delivery","345","335","41050","38630"
"In post","2021","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Property","60","55","39090","38630"
"In post","2021","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Security","40","35","39530","37390"
"In post","2021","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Social Research","10","10","[c]","[c]"
"In post","2021","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Statistics","40","40","36970","36160"
"In post","2021","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Tax","4915","4710","27130","25560"
"In post","2021","Unknown","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Unknown","1775","1715","31000","25560"
"In post","2021","Unknown","HM Treasury (excl. agencies)","HM Treasury","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","HM Treasury (excl. agencies)","HM Treasury","Economics","5","5","[c]","[c]"
"In post","2021","Unknown","HM Treasury (excl. agencies)","HM Treasury","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","HM Treasury (excl. agencies)","HM Treasury","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","HM Treasury (excl. agencies)","HM Treasury","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","HM Treasury (excl. agencies)","HM Treasury","Operational Delivery","5","5","[c]","[c]"
"In post","2021","Unknown","HM Treasury (excl. agencies)","HM Treasury","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","HM Treasury (excl. agencies)","HM Treasury","Policy","50","50","46610","43890"
"In post","2021","Unknown","HM Treasury (excl. agencies)","HM Treasury","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","HM Treasury (excl. agencies)","HM Treasury","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","HM Treasury (excl. agencies)","HM Treasury","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Home Office (incl. agencies)","Home Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Home Office (incl. agencies)","Home Office","Communications","10","10","[c]","[c]"
"In post","2021","Unknown","Home Office (incl. agencies)","Home Office","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Home Office (incl. agencies)","Home Office","Digital, Data and Technology","120","120","49390","46140"
"In post","2021","Unknown","Home Office (incl. agencies)","Home Office","Economics","25","25","[c]","[c]"
"In post","2021","Unknown","Home Office (incl. agencies)","Home Office","Finance","15","15","[c]","[c]"
"In post","2021","Unknown","Home Office (incl. agencies)","Home Office","Human Resources","25","25","[c]","[c]"
"In post","2021","Unknown","Home Office (incl. agencies)","Home Office","Intelligence Analysis","30","30","[c]","[c]"
"In post","2021","Unknown","Home Office (incl. agencies)","Home Office","Knowledge and Information Management","10","10","[c]","[c]"
"In post","2021","Unknown","Home Office (incl. agencies)","Home Office","Operational Delivery","980","950","25000","24880"
"In post","2021","Unknown","Home Office (incl. agencies)","Home Office","Operational Research","15","15","[c]","[c]"
"In post","2021","Unknown","Home Office (incl. agencies)","Home Office","Other","185","180","33970","28650"
"In post","2021","Unknown","Home Office (incl. agencies)","Home Office","Policy","185","180","44900","41950"
"In post","2021","Unknown","Home Office (incl. agencies)","Home Office","Project Delivery","70","70","43710","37450"
"In post","2021","Unknown","Home Office (incl. agencies)","Home Office","Science and Engineering","5","5","[c]","[c]"
"In post","2021","Unknown","Home Office (incl. agencies)","Home Office","Security","5","5","[c]","[c]"
"In post","2021","Unknown","Home Office (incl. agencies)","Home Office","Social Research","10","10","[c]","[c]"
"In post","2021","Unknown","Home Office (incl. agencies)","Home Office","Statistics","20","20","[c]","[c]"
"In post","2021","Unknown","Home Office (incl. agencies)","Home Office","Unknown","5","5","[c]","[c]"
"In post","2021","Unknown","Insolvency Service","Department for Business, Energy and Industrial Strategy","Commercial","5","5","[c]","[c]"
"In post","2021","Unknown","Insolvency Service","Department for Business, Energy and Industrial Strategy","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Insolvency Service","Department for Business, Energy and Industrial Strategy","Counter Fraud","85","80","37800","37380"
"In post","2021","Unknown","Insolvency Service","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","15","15","[c]","[c]"
"In post","2021","Unknown","Insolvency Service","Department for Business, Energy and Industrial Strategy","Finance","15","15","[c]","[c]"
"In post","2021","Unknown","Insolvency Service","Department for Business, Energy and Industrial Strategy","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Insolvency Service","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Insolvency Service","Department for Business, Energy and Industrial Strategy","Legal","10","10","[c]","[c]"
"In post","2021","Unknown","Insolvency Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","470","455","25560","20880"
"In post","2021","Unknown","Insolvency Service","Department for Business, Energy and Industrial Strategy","Policy","5","5","[c]","[c]"
"In post","2021","Unknown","Insolvency Service","Department for Business, Energy and Industrial Strategy","Project Delivery","10","10","[c]","[c]"
"In post","2021","Unknown","Insolvency Service","Department for Business, Energy and Industrial Strategy","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Institute for Apprenticeships and Technical Education","Department for Education","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Institute for Apprenticeships and Technical Education","Department for Education","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2021","Unknown","Institute for Apprenticeships and Technical Education","Department for Education","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Institute for Apprenticeships and Technical Education","Department for Education","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Institute for Apprenticeships and Technical Education","Department for Education","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Institute for Apprenticeships and Technical Education","Department for Education","Operational Delivery","20","20","[c]","[c]"
"In post","2021","Unknown","Institute for Apprenticeships and Technical Education","Department for Education","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Legal Aid Agency","Ministry of Justice","Commercial","5","5","[c]","[c]"
"In post","2021","Unknown","Legal Aid Agency","Ministry of Justice","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Legal Aid Agency","Ministry of Justice","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Legal Aid Agency","Ministry of Justice","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Legal Aid Agency","Ministry of Justice","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Legal Aid Agency","Ministry of Justice","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Legal Aid Agency","Ministry of Justice","Operational Delivery","120","115","22660","19930"
"In post","2021","Unknown","Maritime and Coastguard Agency","Department for Transport","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Maritime and Coastguard Agency","Department for Transport","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2021","Unknown","Maritime and Coastguard Agency","Department for Transport","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Maritime and Coastguard Agency","Department for Transport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Maritime and Coastguard Agency","Department for Transport","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Maritime and Coastguard Agency","Department for Transport","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Maritime and Coastguard Agency","Department for Transport","Operational Delivery","85","80","29340","26590"
"In post","2021","Unknown","Maritime and Coastguard Agency","Department for Transport","Policy","15","15","[c]","[c]"
"In post","2021","Unknown","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Met Office","Department for Business, Energy and Industrial Strategy","Commercial","20","20","[c]","[c]"
"In post","2021","Unknown","Met Office","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","50","50","35610","34250"
"In post","2021","Unknown","Met Office","Department for Business, Energy and Industrial Strategy","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Met Office","Department for Business, Energy and Industrial Strategy","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Met Office","Department for Business, Energy and Industrial Strategy","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Met Office","Department for Business, Energy and Industrial Strategy","Operational Delivery","35","35","41850","41470"
"In post","2021","Unknown","Met Office","Department for Business, Energy and Industrial Strategy","Other","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Met Office","Department for Business, Energy and Industrial Strategy","Project Delivery","20","20","[c]","[c]"
"In post","2021","Unknown","Met Office","Department for Business, Energy and Industrial Strategy","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Met Office","Department for Business, Energy and Industrial Strategy","Science and Engineering","135","120","39560","39650"
"In post","2021","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","Commercial","40","40","33510","33150"
"In post","2021","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","Communications","60","60","40770","40000"
"In post","2021","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","Digital, Data and Technology","40","35","33380","33300"
"In post","2021","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","Finance","70","65","37730","33300"
"In post","2021","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","Human Resources","85","80","30070","26670"
"In post","2021","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","Intelligence Analysis","70","70","37730","37000"
"In post","2021","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","Knowledge and Information Management","30","30","33300","26670"
"In post","2021","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","Legal","5","5","[c]","[c]"
"In post","2021","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","Medicine","310","270","42080","35210"
"In post","2021","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","Operational Delivery","50","45","26720","24840"
"In post","2021","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","Other","745","720","31010","26670"
"In post","2021","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","Policy","100","100","44700","44500"
"In post","2021","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","Project Delivery","235","235","40260","40000"
"In post","2021","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","Property","155","150","25310","18760"
"In post","2021","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","Science and Engineering","125","120","31070","26350"
"In post","2021","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","Security","755","750","28890","26610"
"In post","2021","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","Statistics","5","5","[c]","[c]"
"In post","2021","Unknown","Ministry of Defence (excl. agencies)","Ministry of Defence","Unknown","125","120","35450","33300"
"In post","2021","Unknown","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Communications","20","20","[c]","[c]"
"In post","2021","Unknown","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2021","Unknown","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Economics","5","5","[c]","[c]"
"In post","2021","Unknown","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Operational Delivery","20","20","[c]","[c]"
"In post","2021","Unknown","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Planning","5","5","[c]","[c]"
"In post","2021","Unknown","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Policy","140","135","47850","42940"
"In post","2021","Unknown","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Project Delivery","10","10","[c]","[c]"
"In post","2021","Unknown","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Ministry of Justice (excl. agencies)","Ministry of Justice","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Ministry of Justice (excl. agencies)","Ministry of Justice","Communications","20","20","[c]","[c]"
"In post","2021","Unknown","Ministry of Justice (excl. agencies)","Ministry of Justice","Digital, Data and Technology","200","200","51590","52850"
"In post","2021","Unknown","Ministry of Justice (excl. agencies)","Ministry of Justice","Economics","5","5","[c]","[c]"
"In post","2021","Unknown","Ministry of Justice (excl. agencies)","Ministry of Justice","Finance","55","55","43870","41190"
"In post","2021","Unknown","Ministry of Justice (excl. agencies)","Ministry of Justice","Human Resources","45","45","40270","35000"
"In post","2021","Unknown","Ministry of Justice (excl. agencies)","Ministry of Justice","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Ministry of Justice (excl. agencies)","Ministry of Justice","Legal","15","15","[c]","[c]"
"In post","2021","Unknown","Ministry of Justice (excl. agencies)","Ministry of Justice","Operational Delivery","275","265","34180","30850"
"In post","2021","Unknown","Ministry of Justice (excl. agencies)","Ministry of Justice","Operational Research","20","20","[c]","[c]"
"In post","2021","Unknown","Ministry of Justice (excl. agencies)","Ministry of Justice","Other","25","20","[c]","[c]"
"In post","2021","Unknown","Ministry of Justice (excl. agencies)","Ministry of Justice","Policy","115","110","41810","36800"
"In post","2021","Unknown","Ministry of Justice (excl. agencies)","Ministry of Justice","Project Delivery","30","30","40260","34150"
"In post","2021","Unknown","Ministry of Justice (excl. agencies)","Ministry of Justice","Property","25","25","[c]","[c]"
"In post","2021","Unknown","Ministry of Justice (excl. agencies)","Ministry of Justice","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Ministry of Justice (excl. agencies)","Ministry of Justice","Social Research","5","5","[c]","[c]"
"In post","2021","Unknown","Ministry of Justice (excl. agencies)","Ministry of Justice","Statistics","5","5","[c]","[c]"
"In post","2021","Unknown","Ministry of Justice (excl. agencies)","Ministry of Justice","Unknown","20","15","[c]","[c]"
"In post","2021","Unknown","National Crime Agency","National Crime Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","National Crime Agency","National Crime Agency","Communications","5","5","[c]","[c]"
"In post","2021","Unknown","National Crime Agency","National Crime Agency","Digital, Data and Technology","30","25","[c]","[c]"
"In post","2021","Unknown","National Crime Agency","National Crime Agency","Finance","5","5","[c]","[c]"
"In post","2021","Unknown","National Crime Agency","National Crime Agency","Human Resources","15","15","[c]","[c]"
"In post","2021","Unknown","National Crime Agency","National Crime Agency","Legal","15","10","[c]","[c]"
"In post","2021","Unknown","National Crime Agency","National Crime Agency","Operational Delivery","590","575","41120","39340"
"In post","2021","Unknown","National Crime Agency","National Crime Agency","Project Delivery","10","10","[c]","[c]"
"In post","2021","Unknown","National Crime Agency","National Crime Agency","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","National Infrastructure Commission","HM Treasury","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","National Records of Scotland","Scottish Government","Unknown","85","80","32810","26160"
"In post","2021","Unknown","Northern Ireland Office","Northern Ireland Office","Communications","5","5","[c]","[c]"
"In post","2021","Unknown","Northern Ireland Office","Northern Ireland Office","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Northern Ireland Office","Northern Ireland Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Northern Ireland Office","Northern Ireland Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Northern Ireland Office","Northern Ireland Office","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Northern Ireland Office","Northern Ireland Office","Other","10","10","[c]","[c]"
"In post","2021","Unknown","Northern Ireland Office","Northern Ireland Office","Policy","40","40","41020","37420"
"In post","2021","Unknown","Northern Ireland Office","Northern Ireland Office","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Northern Ireland Office","Northern Ireland Office","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office for Budget Responsibility","HM Treasury","Economics","35","30","51090","54690"
"In post","2021","Unknown","Office for Budget Responsibility","HM Treasury","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Inspector of Education and Training","15","15","[c]","[c]"
"In post","2021","Unknown","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Operational Delivery","10","5","[c]","[c]"
"In post","2021","Unknown","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Other","10","10","[c]","[c]"
"In post","2021","Unknown","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Other","15","10","[c]","[c]"
"In post","2021","Unknown","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office of Rail and Road","Office of Rail and Road","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office of Rail and Road","Office of Rail and Road","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office of Rail and Road","Office of Rail and Road","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office of Rail and Road","Office of Rail and Road","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office of the Public Guardian","Ministry of Justice","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office of the Public Guardian","Ministry of Justice","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office of the Public Guardian","Ministry of Justice","Operational Delivery","185","170","20760","19930"
"In post","2021","Unknown","Office of the Public Guardian","Ministry of Justice","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Office of the Scottish Charity Regulator","Scottish Government","Unknown","5","5","[c]","[c]"
"In post","2021","Unknown","Planning Inspectorate","Ministry of Housing, Communities and Local Government","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Planning Inspectorate","Ministry of Housing, Communities and Local Government","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Planning Inspectorate","Ministry of Housing, Communities and Local Government","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Planning Inspectorate","Ministry of Housing, Communities and Local Government","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Planning Inspectorate","Ministry of Housing, Communities and Local Government","Operational Delivery","45","45","32640","21270"
"In post","2021","Unknown","Planning Inspectorate","Ministry of Housing, Communities and Local Government","Planning Inspectors","25","20","[c]","[c]"
"In post","2021","Unknown","Planning Inspectorate","Ministry of Housing, Communities and Local Government","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Public Health England","Department of Health and Social Care","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Public Health England","Department of Health and Social Care","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Public Health England","Department of Health and Social Care","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Public Health England","Department of Health and Social Care","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Public Health England","Department of Health and Social Care","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Public Health England","Department of Health and Social Care","Knowledge and Information Management","25","20","[c]","[c]"
"In post","2021","Unknown","Public Health England","Department of Health and Social Care","Medicine","10","10","[c]","[c]"
"In post","2021","Unknown","Public Health England","Department of Health and Social Care","Operational Delivery","85","75","47050","46450"
"In post","2021","Unknown","Public Health England","Department of Health and Social Care","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Public Health England","Department of Health and Social Care","Science and Engineering","35","30","42320","35400"
"In post","2021","Unknown","Registers of Scotland","Scottish Government","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Registers of Scotland","Scottish Government","Digital, Data and Technology","15","15","[c]","[c]"
"In post","2021","Unknown","Registers of Scotland","Scottish Government","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Registers of Scotland","Scottish Government","Human Resources","5","5","[c]","[c]"
"In post","2021","Unknown","Registers of Scotland","Scottish Government","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Registers of Scotland","Scottish Government","Operational Delivery","130","125","29580","24130"
"In post","2021","Unknown","Registers of Scotland","Scottish Government","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Registers of Scotland","Scottish Government","Security","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Registers of Scotland","Scottish Government","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Revenue Scotland","Scottish Government","Unknown","10","10","[c]","[c]"
"In post","2021","Unknown","Royal Fleet Auxiliary","Ministry of Defence","Other","1835","1835","37620","34460"
"In post","2021","Unknown","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","715","680","24240","21050"
"In post","2021","Unknown","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Project Delivery","40","40","36060","35900"
"In post","2021","Unknown","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","Communications","5","5","[c]","[c]"
"In post","2021","Unknown","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","Operational Delivery","15","15","[c]","[c]"
"In post","2021","Unknown","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","Policy","10","10","[c]","[c]"
"In post","2021","Unknown","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","Unknown","20","20","[c]","[c]"
"In post","2021","Unknown","Scottish Courts and Tribunals Service","Scottish Government","Commercial","10","10","[c]","[c]"
"In post","2021","Unknown","Scottish Courts and Tribunals Service","Scottish Government","Communications","5","5","[c]","[c]"
"In post","2021","Unknown","Scottish Courts and Tribunals Service","Scottish Government","Digital, Data and Technology","60","60","34350","29350"
"In post","2021","Unknown","Scottish Courts and Tribunals Service","Scottish Government","Finance","20","20","[c]","[c]"
"In post","2021","Unknown","Scottish Courts and Tribunals Service","Scottish Government","Human Resources","20","20","[c]","[c]"
"In post","2021","Unknown","Scottish Courts and Tribunals Service","Scottish Government","Legal","35","30","45150","45190"
"In post","2021","Unknown","Scottish Courts and Tribunals Service","Scottish Government","Operational Delivery","1495","1345","26460","22820"
